"","GOID","cluster","ClusterTheme","UserTheme","pVal","TERM"
"234","GO:0045540",314,"biosynthetic processes \ peptide biosynthesis \ receptor biosynthesis \ sphingolipid biosynthesis \ triglyceride biosynthesis","1,2 cyclopentanoperhydrophenanthrene \ cyclopentanoperhydrophenanthrene nucleus \ steroids compounds",0.776379496056837,"regulation of cholesterol biosynthetic process"
"235","GO:0045736",271,"adenylate cyclase","cyclin dependent \ dependent protein",0.817639206418757,"negative regulation of cyclin-dependent protein serine/threonine kinase activity"
"236","GO:0045773",211,"postsynaptic potential","axon extension",0.267713823273187,"positive regulation of axon extension"
"237","GO:0045786",284,"cell proliferation","cell death",1.28063832886028e-05,"negative regulation of cell cycle"
"238","GO:0045862",121,"lipoprotein particle","protein serine",0.146901336387339,"positive regulation of proteolysis"
"239","GO:0045899",133,"ii promoter","ii transcriptional \ polymerase ii \ preinitiation complex \ rna polymerase \ transcriptional preinitiation",0.858327432516089,"positive regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"240","GO:0046040",122,"6 phosphate","glucose 6 \ ribulose 5",0.0443392140692969,"IMP metabolic process"
"241","GO:0046112",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"nucleobase biosynthetic process"
"242","GO:0046165",175,"carbon atoms","acids organic \ amino substituents \ carbon atom \ saturated carbon",0.29949342536181,"alcohol biosynthetic process"
"243","GO:0046390",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"ribose phosphate biosynthetic process"
"244","GO:0046395",109,"compounds including","carboxyl cooh \ organic acid",0.898549649979481,"carboxylic acid catabolic process"
"245","GO:0046496",103,"aromatic hydrocarbon","active form \ b6 compounds \ combined nicotinamide \ compounds pyridoxal \ form pyridoxal \ nicotinamide nucleotides \ pyridoxal phosphate \ pyridoxal pyridoxamine \ vitamin b6",0.355222435342262,"nicotinamide nucleotide metabolic process"
"246","GO:0046903",146,"shear stress","membrane potential",0.405803539217874,"secretion"
"247","GO:0046907",302,"directed movement","transported substances",0.0392395837821326,"intracellular transport"
"248","GO:0048012",299,"e.g transcription","factor receptor \ growth factor \ hepatocyte growth \ physiological ligands \ receptor binding \ signals generated",0.898301324191167,"hepatocyte growth factor receptor signaling pathway"
"249","GO:0048193",289,"bilayer membrane","cis golgi",0.138131728453014,"Golgi vesicle transport"
"250","GO:0048518",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of biological process"
"251","GO:0048519",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of biological process"
"252","GO:0048522",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of cellular process"
"253","GO:0050772",211,"postsynaptic potential","axon extension",0.267713823273187,"positive regulation of axonogenesis"
"254","GO:0050790",158,"genes involved \ regulation process \ specific genes \ transcription regulation","donor compound",0.0782146432667225,"regulation of catalytic activity"
"255","GO:0050810",314,"biosynthetic processes \ peptide biosynthesis \ receptor biosynthesis \ sphingolipid biosynthesis \ triglyceride biosynthesis","1,2 cyclopentanoperhydrophenanthrene \ cyclopentanoperhydrophenanthrene nucleus \ steroids compounds",0.776379496056837,"regulation of steroid biosynthetic process"
"256","GO:0050821",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein stabilization"
"257","GO:0051049",226,"cell communication","signaling process",0.000190880884754652,"regulation of transport"
"258","GO:0051084",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"'de novo' posttranslational protein folding"
"259","GO:0051128",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of cellular component organization"
"260","GO:0051130",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of cellular component organization"
"261","GO:0051169",316,"directed movement","directed movement",0.0675173009345651,"nuclear transport"
"262","GO:0051170",154,"intracellular signal","cardiac conduction",0.197700869970609,"import into nucleus"
"263","GO:0051179",213,"specific location","specific location",3.05164247263006e-05,"localization"
"264","GO:0051186",78,"living organisms","individual cells",6.38016900003869e-08,"cofactor metabolic process"
"265","GO:0051234",62,"organism's body","biological quality",0.0229488507773057,"establishment of localization"
"266","GO:0051246",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of protein metabolic process"
"267","GO:0051247",383,"lipid storage","protein occurring",0.000596617875435631,"positive regulation of protein metabolic process"
"268","GO:0051248",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of protein metabolic process"
"269","GO:0051259",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein complex oligomerization"
"270","GO:0051260",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein homooligomerization"
"271","GO:0051270",226,"cell communication","signaling process",0.000190880884754652,"regulation of cellular component movement"
"272","GO:0051272",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of cellular component movement"
"273","GO:0051289",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein homotetramerization"
"274","GO:0051338",121,"lipoprotein particle","protein serine",0.146901336387339,"regulation of transferase activity"
"275","GO:0051348",158,"genes involved \ regulation process \ specific genes \ transcription regulation","donor compound",0.0782146432667225,"negative regulation of transferase activity"
"276","GO:0051603",232,"carbohydrate derivative","peptide bond",0.230159563906556,"proteolysis involved in cellular protein catabolic process"
"277","GO:0051640",213,"specific location","specific location",3.05164247263006e-05,"organelle localization"
"278","GO:0051641",213,"specific location","specific location",3.05164247263006e-05,"cellular localization"
"279","GO:0051649",213,"specific location","specific location",3.05164247263006e-05,"establishment of localization in cell"
"280","GO:0051656",213,"specific location","specific location",3.05164247263006e-05,"establishment of organelle localization"
"281","GO:0051704",62,"organism's body","biological quality",0.0229488507773057,"multi-organism process"
"282","GO:0051726",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of cell cycle"
"283","GO:0051896",388,"signaling pathway","protein kinase",0.907117921515866,"regulation of protein kinase B signaling"
"284","GO:0051897",388,"signaling pathway","protein kinase",0.907117921515866,"positive regulation of protein kinase B signaling"
"285","GO:0055067",200,"internal steady","internal steady",0.0129714950366812,"monovalent inorganic cation homeostasis"
"286","GO:0055075",200,"internal steady","internal steady",0.0129714950366812,"potassium ion homeostasis"
"287","GO:0055078",200,"internal steady","internal steady",0.0129714950366812,"sodium ion homeostasis"
"288","GO:0055086",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"nucleobase-containing small molecule metabolic process"
"289","GO:0055093",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to hyperoxia"
"290","GO:0055114",229,"inorganic cations","concomitant removal",0.572740280949279,"oxidation-reduction process"
"291","GO:0055119",390,"muscle geometry","muscle relaxation",0.206316815855393,"relaxation of cardiac muscle"
"292","GO:0060341",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of cellular localization"
"293","GO:0060548",284,"cell proliferation","cell death",1.28063832886028e-05,"negative regulation of cell death"
"294","GO:0060627",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of vesicle-mediated transport"
"295","GO:0061024",52,"aggregation arrangement","cellular component",0.144156715619499,"membrane organization"
"296","GO:0061077",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"chaperone-mediated protein folding"
"297","GO:0061136",228,"binding oligomerization \ oligomerization domain","peptide bonds",0.856073823434096,"regulation of proteasomal protein catabolic process"
"298","GO:0065003",258,"aggregation arrangement","aggregation arrangement",0.753915624552152,"protein-containing complex assembly"
"299","GO:0065008",62,"organism's body","biological quality",0.0229488507773057,"regulation of biological quality"
"300","GO:0070125",288,"terminal domain","polypeptide chain",0.0189509551985704,"mitochondrial translational elongation"
"301","GO:0070126",288,"terminal domain","polypeptide chain",0.0189509551985704,"mitochondrial translational termination"
"302","GO:0070201",261,"stimulus indicating","specific location",0.096601189704285,"regulation of establishment of protein localization"
"303","GO:0070208",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein heterotrimerization"
"304","GO:0070646",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein modification by small protein removal"
"305","GO:0070647",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein modification by small protein conjugation or removal"
"306","GO:0070887",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"cellular response to chemical stimulus"
"307","GO:0071229",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"cellular response to acid chemical"
"308","GO:0071230",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"cellular response to amino acid stimulus"
"309","GO:0071300",301,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",0.746433121603126,"cellular response to retinoic acid"
"310","GO:0071310",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"cellular response to organic substance"
"311","GO:0071702",316,"directed movement","directed movement",0.0675173009345651,"organic substance transport"
"312","GO:0071704",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"organic substance metabolic process"
"313","GO:0071705",316,"directed movement","directed movement",0.0675173009345651,"nitrogen compound transport"
"314","GO:0071786",178,"cellular level","cellular level",0.00458620014973849,"endoplasmic reticulum tubular network organization"
"315","GO:0071840",6,"constituent macromolecules","constituent macromolecules",0.275573954151456,"cellular component organization or biogenesis"
"316","GO:0071900",121,"lipoprotein particle","protein serine",0.146901336387339,"regulation of protein serine/threonine kinase activity"
"317","GO:0071901",121,"lipoprotein particle","protein serine",0.146901336387339,"negative regulation of protein serine/threonine kinase activity"
"318","GO:0072358",55,"mature structure","mature structure",0.158302393351661,"cardiovascular system development"
"319","GO:0072359",190,"mature structure","circulatory system",0.608761192132643,"circulatory system development"
"320","GO:0072521",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"purine-containing compound metabolic process"
"321","GO:0072522",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"purine-containing compound biosynthetic process"
"322","GO:0072524",103,"aromatic hydrocarbon","active form \ b6 compounds \ combined nicotinamide \ compounds pyridoxal \ form pyridoxal \ nicotinamide nucleotides \ pyridoxal phosphate \ pyridoxal pyridoxamine \ vitamin b6",0.355222435342262,"pyridine-containing compound metabolic process"
"323","GO:0086009",146,"shear stress","membrane potential",0.405803539217874,"membrane repolarization"
"324","GO:0086064",154,"intracellular signal","cardiac conduction",0.197700869970609,"cell communication by electrical coupling involved in cardiac conduction"
"325","GO:0086065",154,"intracellular signal","cardiac conduction",0.197700869970609,"cell communication involved in cardiac conduction"
"326","GO:0090075",390,"muscle geometry","muscle relaxation",0.206316815855393,"relaxation of muscle"
"327","GO:0090181",310,"regulated release","3 beta \ 5 en \ beta ol \ bile acids \ cholest 5 \ cholesterol cholest \ cholesterol metabolism \ en 3 \ including bile \ principal sterol \ steroid hormones \ steroids including",0.944201487776123,"regulation of cholesterol metabolic process"
"328","GO:0090407",196,"2 amino","deoxy erythro \ deoxyribose phosphate \ erythro pentose \ phosphorylated sugar \ sugar 2",0.959947437602717,"organophosphate biosynthetic process"
"329","GO:0090666",356,"salivary gland","cajal body",0.629236773471837,"scaRNA localization to Cajal body"
"330","GO:0097435",178,"cellular level","cellular level",0.00458620014973849,"supramolecular fiber organization"
"331","GO:0140053",212,"interacting selectively","NA NA",0.269781354188087,"mitochondrial gene expression"
"332","GO:0140115",286,"plasma membrane","NA NA",0.786479380775686,"export across plasma membrane"
"333","GO:1901135",114,"metabolic process","NA NA",0.405803539217874,"carbohydrate derivative metabolic process"
"334","GO:1901137",296,"biosynthetic process","NA NA",0.426117428213195,"carbohydrate derivative biosynthetic process"
"335","GO:1901564",140,"metabolic process","NA NA",0.223521300982084,"organonitrogen compound metabolic process"
"336","GO:1901565",167,"catabolic process","NA NA",0.836707447840904,"organonitrogen compound catabolic process"
"337","GO:1901566",296,"biosynthetic process","NA NA",0.426117428213195,"organonitrogen compound biosynthetic process"
"338","GO:1901575",283,"catabolic process","NA NA",0.796347873670223,"organic substance catabolic process"
"339","GO:1901605",306,"beta oxidation","NA NA",0.356478079571665,"alpha-amino acid metabolic process"
"340","GO:1901607",296,"biosynthetic process","NA NA",0.426117428213195,"alpha-amino acid biosynthetic process"
"341","GO:1901615",140,"metabolic process","NA NA",0.223521300982084,"organic hydroxy compound metabolic process"
"342","GO:1901617",296,"biosynthetic process","NA NA",0.426117428213195,"organic hydroxy compound biosynthetic process"
"343","GO:1901657",114,"metabolic process","NA NA",0.405803539217874,"glycosyl compound metabolic process"
"344","GO:1901698",384,"cellular response","NA NA",0.246613105280869,"response to nitrogen compound"
"345","GO:1901700",384,"cellular response","NA NA",0.246613105280869,"response to oxygen-containing compound"
"346","GO:1901998",212,"interacting selectively","NA NA",0.269781354188087,"toxin transport"
"347","GO:1902307",80,"transmembrane transport","ion transmembrane \ sodium ion \ transmembrane transporter \ transporter activity",0.194929177094705,"positive regulation of sodium ion transmembrane transport"
"348","GO:1902531",293,"signaling pathway","NA NA",0.432744949422641,"regulation of intracellular signal transduction"
"349","GO:1902533",293,"signaling pathway","NA NA",0.432744949422641,"positive regulation of intracellular signal transduction"
"350","GO:1902806",323,"cell cycle","cell cycle",0.509357835138649,"regulation of cell cycle G1/S phase transition"
"351","GO:1903050",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"regulation of proteolysis involved in cellular protein catabolic process"
"352","GO:1903202",5,"cellular response","NA NA",0.844257345268342,"negative regulation of oxidative stress-induced cell death"
"353","GO:1903362",161,"metabolic process","NA NA",0.814739424884016,"regulation of cellular protein catabolic process"
"354","GO:1903416",279,"enzyme production \ movement secretion \ production gene \ secretion enzyme","NA NA",0.805760890571108,"response to glycoside"
"355","GO:1903533",250,"positive regulation","NA NA",0.828792107947393,"regulation of protein targeting"
"356","GO:1903772",118,"viral dna","NA NA",0.544945300174677,"regulation of viral budding via host ESCRT complex"
"357","GO:1903827",124,"protein localization","protein localization",0.00670616690365194,"regulation of cellular protein localization"
"358","GO:1903828",124,"protein localization","protein localization",0.00670616690365194,"negative regulation of cellular protein localization"
"359","GO:1903829",124,"protein localization","protein localization",0.00670616690365194,"positive regulation of cellular protein localization"
"360","GO:1904816",124,"protein localization","protein localization",0.00670616690365194,"positive regulation of protein localization to chromosome, telomeric region"
"361","GO:1904851",124,"protein localization","protein localization",0.00670616690365194,"positive regulation of establishment of protein localization to telomere"
"362","GO:1904874",124,"protein localization","protein localization",0.00670616690365194,"positive regulation of telomerase RNA localization to Cajal body"
"363","GO:1905098",245,"trna ligase","exchange factor \ factor activity \ guanyl nucleotide \ nucleotide exchange",0.856073823434096,"negative regulation of guanyl-nucleotide exchange factor activity"
"364","GO:1905475",124,"protein localization","protein localization",0.00670616690365194,"regulation of protein localization to membrane"
"365","GO:1990778",124,"protein localization","protein localization",0.00670616690365194,"protein localization to cell periphery"
"366","GO:2000045",323,"cell cycle","cell cycle",0.509357835138649,"regulation of G1/S transition of mitotic cell cycle"
"367","GO:2000144",324,"subunit export","dna templated \ templated transcription \ transcription initiation",0.530377928216536,"positive regulation of DNA-templated transcription, initiation"
"368","GO:2000145",240,"polarity pathway","cell motility",0.786479380775686,"regulation of cell motility"
"369","GO:2000147",343,"stem cell","cell motility",0.915857460199814,"positive regulation of cell motility"
"370","GO:2000651",80,"transmembrane transport","ion transmembrane \ sodium ion \ transmembrane transporter \ transporter activity",0.194929177094705,"positive regulation of sodium ion transmembrane transporter activity"
"371","GO:2001234",348,"apoptotic signaling","apoptotic signaling \ signaling pathway",0.839263836626563,"negative regulation of apoptotic signaling pathway"
