,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
NEGATIVE REGULATION OF T CELL DIFFERENTIATION,GOBP,GO:0045581,0,0,0,0,0,0,0,0,1.781665501,2.100831068,0,2.11050969,1.467572052,0
REGULATION OF PLASMA MEMBRANE ORGANIZATION,GOBP,GO:1903729,0,0,1.303338968,0,0,0,0,0,2.111565225,0,0,3.550373901,1.447627887,0
CELL AGING,GOBP,GO:0007569,0,0,0,0,0,3.624298907,0,0,0,1.833803995,0,2.924864039,0,1.529153739
REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS,GOBP,GO:0043620,0,0,0,0,0,0,0,0,3.020162378,0,0,6.41329789,6.542198003,2.814387719
REGULATION OF AMYLOID PRECURSOR PROTEIN CATABOLIC PROCESS,GOBP,GO:1902991,0,0,0,0,1.527857738,0,0,0,0,0,0,4.480502629,1.571916914,1.377397887
VENOUS BLOOD VESSEL DEVELOPMENT,GOBP,GO:0060841,0,0,0,0,0,0,0,1.49650831,2.501657197,1.389026331,0,2.333175047,0,0
REGULATION OF GRANULOCYTE DIFFERENTIATION,GOBP,GO:0030852,0,0,1.652987567,0,0,0,0,0,0,1.359694994,1.8680128,1.407908195,0,0
REGULATION OF PROTEIN DEPHOSPHORYLATION,GOBP,GO:0035304,0,0,0,0,0,0,0,0,2.940448686,0,2.131926457,5.434642938,2.125677835,0
DEFENSE RESPONSE TO VIRUS,GOBP,GO:0051607,0,0,0,0,0,0,0,0,0,0,1.418158744,5.092700801,3.943533043,1.37374153
MAINTENANCE OF LOCATION,GOBP,GO:0051235,0,0,1.571035552,0,0,0,0,0,2.111405843,0,0,2.508524431,0,2.518795048
BLOOD VESSEL REMODELING,GOBP,GO:0001974,0,0,0,2.535271588,0,0,0,0,4.074935146,0,0,3.57467696,1.787725945,0
REGULATION OF STEM CELL DIFFERENTIATION,GOBP,GO:2000736,0,0,0,0,0,0,0,0,2.993371046,0,0,6.990378025,1.98473754,1.642106891
NEGATIVE REGULATION OF MUSCLE ORGAN DEVELOPMENT,GOBP,GO:0048635,0,0,0,0,0,0,0,0,5.138767157,0,1.727796889,3.938219542,1.419551489,0
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,GOBP,GO:0010574,0,0,1.586421389,0,1.502748634,0,1.411091138,0,0,0,2.224273394,0,0,0
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:0010389,0,0,0,0,0,0,0,0,1.505024968,0,0,8.005667986,1.405746736,2.330162333
TYPE I INTERFERON SIGNALING PATHWAY,GOBP,GO:0060337,0,0,0,0,0,0,0,0,0,0,1.332356374,2.662670549,1.666471262,1.422569142
REGULATION OF PROTEIN COMPLEX DISASSEMBLY,GOBP,GO:0043244,1.361920992,1.791895818,0,0,1.386653141,0,0,0,0,0,0,2.960491318,0,0
NIK/NF-KAPPAB SIGNALING,GOBP,GO:0038061,0,0,0,0,0,0,0,0,3.446883307,0,0,9.382156231,2.77512714,2.393545458
POSITIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900078,0,0,0,0,0,0,0,0,2.704385336,0,4.984026137,5.618451392,0,1.94790915
NEGATIVE REGULATION OF MYOTUBE DIFFERENTIATION,GOBP,GO:0010832,0,0,0,0,0,0,0,0,0,2.889388938,0,2.754004736,1.491455833,1.351268368
PURINE RIBONUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0009152,0,0,0,0,0,0,0,0,4.814511627,0,0,8.15497522,4.369578537,11.09355421
INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,GOBP,GO:0072332,0,0,0,0,0,1.322713579,0,0,1.658133743,0,2.55358007,1.910395141,0,0
CELLULAR RESPONSE TO FATTY ACID,GOBP,GO:0071398,0,0,0,0,0,0,0,0,4.801273933,0,0,2.907484502,1.309784093,1.779978175
POSITIVE REGULATION OF MESENCHYMAL CELL PROLIFERATION,GOBP,GO:0002053,0,0,0,0,0,0,0,0,2.999456035,2.754354653,0,2.434241958,2.375397884,0
NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009132,0,0,0,0,0,0,0,0,1.45246862,0,0,6.035478711,4.297248124,7.299809215
REGULATION OF ORGANIC ACID TRANSPORT,GOBP,GO:0032890,0,0,0,0,0,0,0,0,6.620217639,0,0,3.778265257,6.95948796,1.402506276
REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY,GOBP,GO:1901016,0,0,0,0,0,0,0,0,2.095628924,0,0,3.869233155,1.901438507,1.647537402
NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:1904036,0,0,2.184491461,0,0,0,0,0,2.495899348,0,0,5.595682012,1.443241864,0
NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION,GOBP,GO:0045671,1.390211248,1.548613428,0,0,0,0,0,0,1.687548353,0,0,1.946802035,0,0
NEGATIVE REGULATION OF PROTEOLYSIS,GOBP,GO:0045861,0,0,0,0,0,0,0,0,1.64911765,0,1.588386296,7.797653844,0,3.886172623
POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002720,0,0,0,0,0,0,0,0,1.332472213,0,2.185640201,3.531431764,0,2.959822859
PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009135,0,0,0,0,0,0,0,0,0,0,1.434151402,4.255150239,5.293408489,4.734416937
REGULATION OF PHOSPHOLIPASE ACTIVITY,GOBP,GO:0010517,0,0,0,0,0,0,0,0,6.423014893,0,0,4.878562115,1.584549303,2.654059467
DNA CONFORMATION CHANGE,GOBP,GO:0071103,0,0,0,0,0,0,0,0,1.491612917,0,0,5.267442782,2.079511075,9.946815895
REGULATION OF PH,GOBP,GO:0006885,0,0,0,0,0,0,0,0,1.593336116,0,0,7.97384431,4.423952017,3.125520954
REGULATION OF CELLULAR COMPONENT SIZE,GOBP,GO:0032535,0,0,0,0,0,0,0,0,6.68738746,1.610834992,0,14.00539671,1.809357216,0
CELLULAR CALCIUM ION HOMEOSTASIS,GOBP,GO:0006874,0,0,0,0,0,0,0,0,3.851734726,0,1.530933112,9.347566638,3.424913834,0
POSITIVE REGULATION OF ANION TRANSPORT,GOBP,GO:1903793,0,0,0,0,0,0,0,0,6.41246624,0,0,6.080923418,1.901438507,2.359330153
ANTERIOR/POSTERIOR PATTERN SPECIFICATION,GOBP,GO:0009952,0,0,0,1.424413765,0,0,0,0,2.86441049,0,1.498311998,1.577339448,0,0
REGULATION OF RESPONSE TO BIOTIC STIMULUS,GOBP,GO:0002831,0,0,0,0,0,0,0,0,1.727392912,0,1.438508758,6.021839038,0,5.187029767
EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND,GOBP,GO:0097192,0,1.850087467,0,0,0,0,0,0,0,0,1.301536136,2.421117703,1.936122699,0
"NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR SIGNALING PATHWAY",GOBP,GO:0035872,0,0,0,0,2.173407256,0,0,0,1.565930623,0,0,3.986585211,1.936122699,0
MICROTUBULE ORGANIZING CENTER ORGANIZATION,GOBP,GO:0031023,0,0,0,0,0,1.732788205,0,0,0,0,2.148333914,1.85535885,0,1.930591072
PHOSPHOLIPID TRANSPORT,GOBP,GO:0015914,0,0,0,0,0,0,0,0,0,1.722575655,1.980823701,3.012697138,1.584549303,0
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,GOBP,GO:1903053,0,0,0,1.315487869,0,0,0,0,2.495899348,0,0,8.301770541,3.112853143,0
GLANDULAR EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0002067,0,0,0,1.577011264,3.415774469,0,0,0,1.957075167,0,0,3.066939168,0,0
REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY,GOBP,GO:1902175,0,0,0,0,1.678735192,0,0,0,1.645266203,0,1.355802244,1.879780414,0,0
PURINE NUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009127,0,0,0,0,0,0,0,0,2.244267553,0,0,5.001420818,4.596701049,4.002754359
ROOF OF MOUTH DEVELOPMENT,GOBP,GO:0060021,0,0,0,0,0,0,0,0,2.558559918,0,3.229576307,3.352374806,2.614914829,0
REGULATION OF MAST CELL DEGRANULATION,GOBP,GO:0043304,0,0,1.523866439,0,0,0,0,0,1.492787758,0,2.185333415,1.641576905,0,0
CELLULAR RESPONSE TO HEAT,GOBP,GO:0034605,0,0,0,0,0,0,0,0,2.194471141,0,3.332194186,3.415581716,3.692046722,0
"REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION",GOBP,GO:0043370,0,0,0,2.119751749,0,1.717189683,0,0,1.629250342,0,0,1.369871247,0,0
NEGATIVE REGULATION OF PURINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:1900543,0,1.408720834,0,0,0,0,0,0,0,0,0,1.815972963,2.972533721,1.770896447
POSITIVE REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II,GOBP,GO:1902895,0,0,0,0,0,0,0,0,0,0,1.916470204,5.421930516,4.439365338,2.17520788
CELLULAR RESPONSE TO TOXIC SUBSTANCE,GOBP,GO:0097237,0,0,0,0,0,0,0,0,5.371525004,0,3.615819282,5.842191085,0,1.717627048
NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0045912,0,0,0,0,0,0,0,0,0,0,3.489255145,4.41935512,1.352050393,1.837524644
NEGATIVE REGULATION OF NUCLEAR DIVISION,GOBP,GO:0051784,0,0,0,0,0,0,0,0,0,1.995913406,1.634211479,2.366022614,0,3.417520855
BIOMINERAL TISSUE DEVELOPMENT,GOBP,GO:0031214,0,0,0,0,0,0,0,0,1.377899934,0,0,2.781275845,1.308341273,2.215665225
RESPONSE TO PLATELET-DERIVED GROWTH FACTOR,GOBP,GO:0036119,0,0,0,1.665446216,0,0,0,0,0,0,1.669834797,1.834325167,0,2.287089894
NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0046627,0,0,0,0,0,0,0,0,6.164864259,0,0,5.143733178,3.676798463,2.385083996
REGULATION OF TRANSPORTER ACTIVITY,GOBP,GO:0032409,0,0,0,0,0,0,0,0,5.404573982,0,0,12.14164654,1.460335064,1.748238516
ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007188,0,2.195031721,0,0,0,0,0,0,2.48285556,0,0,2.01461565,3.117177592,0
NEGATIVE REGULATION OF CARDIOCYTE DIFFERENTIATION,GOBP,GO:1905208,0,0,0,0,0,0,0,0,1.98803295,0,1.587405412,1.681028441,2.375397884,0
POSITIVE REGULATION OF RESPONSE TO WOUNDING,GOBP,GO:1903036,0,0,0,0,0,0,0,0,4.343387895,0,0,5.805030183,2.860935892,3.204053947
POSITIVE REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY,GOBP,GO:0002888,0,0,2.317726607,0,0,0,1.52316704,0,3.426260632,0,2.306603602,0,0,0
NOTCH SIGNALING PATHWAY,GOBP,GO:0007219,0,0,0,0,0,0,0,0,5.122278125,0,1.31485389,4.12722013,1.457846383,0
RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009201,0,0,0,0,0,0,0,0,2.474706735,0,0,7.704351909,4.079837472,6.954681917
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,GOBP,GO:0070059,0,0,0,0,1.398589035,0,0,0,0,0,2.147750412,2.903824956,1.822832305,0
CELLULAR RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN,GOBP,GO:0035967,0,0,0,0,0,0,0,0,1.355098435,2.010665451,0,2.781702381,5.370205391,0
POSITIVE CHEMOTAXIS,GOBP,GO:0050918,0,0,0,0,0,0,0,0,0,4.939961634,1.727796889,3.938219542,3.069593779,0
POSITIVE REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901186,0,0,1.552883289,0,0,0,0,0,7.975363577,0,0,6.313956006,2.446459749,0
POSITIVE REGULATION OF ATPASE ACTIVITY,GOBP,GO:0032781,0,0,0,0,0,0,0,0,1.422300775,0,0,10.38827264,4.457982898,6.923706177
REGULATION OF STRIATED MUSCLE CONTRACTION,GOBP,GO:0006942,0,0,0,0,0,0,1.631168824,0,3.070136162,0,1.621259678,8.277730745,0,0
INTERLEUKIN-7-MEDIATED SIGNALING PATHWAY,GOBP,GO:0038111,1.365684364,0,0,1.665446216,0,0,0,0,2.111565225,0,0,1.834325167,0,0
RESPONSE TO GLUCOCORTICOID,GOBP,GO:0051384,0,0,0,0,0,0,0,0,0,0,1.62998189,5.244866863,5.789593128,1.36542793
REGULATION OF SODIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY,GOBP,GO:2000649,0,0,0,0,0,0,0,0,1.520763516,0,0,12.04710286,1.982075485,2.461276835
REGULATION OF MEMBRANE POTENTIAL,GOBP,GO:0042391,0,1.334178721,0,0,0,0,0,0,6.120020635,0,0,7.386814509,1.752767964,0
REGULATION OF DEACETYLASE ACTIVITY,GOBP,GO:0150065,0,0,0,0,0,1.459798875,0,0,0,3.327893286,2.135155965,3.89088036,0,0
FEMALE GENITALIA DEVELOPMENT,GOBP,GO:0030540,0,0,0,0,0,0,0,0,1.330834323,0,0,2.109285884,1.587994202,1.446087672
RETINA VASCULATURE DEVELOPMENT IN CAMERA-TYPE EYE,GOBP,GO:0061298,0,0,0,0,0,1.513052958,0,0,3.268272212,0,0,3.69588689,2.572352198,0
RESPONSE TO TOXIC SUBSTANCE,GOBP,GO:0009636,0,0,0,0,0,0,0,0,7.097763261,0,3.158307786,6.494550813,2.023237852,0
URETERIC BUD DEVELOPMENT,GOBP,GO:0001657,0,0,0,4.735207438,0,0,0,0,2.253957898,0,0,4.663740767,3.774592327,0
REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0046578,0,0,0,0,0,0,0,0,4.678020821,2.599598527,0,12.95016059,5.644953661,0
POSITIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,GOBP,GO:0046598,0,0,0,0,0,0,0,0,2.824100603,3.327893286,0,1.781912388,0,3.007300099
REGULATION OF CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS,GOBP,GO:1902547,0,2.655085881,0,0,0,0,0,0,5.234344959,0,2.655070769,1.611513894,0,0
EPIBOLY,GOBP,GO:0090504,0,0,1.317180491,0,0,0,0,1.51389518,5.860336324,0,0,2.666178136,0,0
SENSORY PERCEPTION OF MECHANICAL STIMULUS,GOBP,GO:0050954,0,1.613683818,0,0,0,0,0,0,1.929939206,0,0,2.210399945,0,2.862563931
REGULATION OF CELLULAR RESPONSE TO OXIDATIVE STRESS,GOBP,GO:1900407,0,1.496163452,0,0,1.537006799,0,0,0,3.640773958,0,0,4.594875796,0,0
REGULATION OF EXOCYTOSIS,GOBP,GO:0017157,0,0,0,0,0,0,0,0,1.783946155,0,1.401042429,4.562575764,0,1.353303951
I-KAPPAB KINASE/NF-KAPPAB SIGNALING,GOBP,GO:0007249,0,0,0,0,0,0,0,0,3.156817798,0,5.819955421,9.93942162,0,1.402506276
REGULATION OF CELL SIZE,GOBP,GO:0008361,0,0,0,0,0,0,0,0,7.981209767,2.737513416,0,8.81539535,1.666763697,0
CELLULAR MONOVALENT INORGANIC CATION HOMEOSTASIS,GOBP,GO:0030004,0,0,0,0,0,0,0,0,1.898768356,0,0,9.96910314,4.868738388,2.838655551
CARDIAC CELL DEVELOPMENT,GOBP,GO:0055006,0,0,0,0,3.99248912,0,0,1.471297605,0,0,0,3.798376479,0,1.622816962
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS,GOBP,GO:1900181,1.74166477,1.344444212,0,0,0,0,0,0,0,0,0,3.167088161,1.936122699,0
COGNITION,GOBP,GO:0050890,0,0,0,0,0,0,0,0,2.514115133,0,1.739458583,8.522251173,1.902934175,0
LUNG MORPHOGENESIS,GOBP,GO:0060425,0,0,0,1.529365257,2.667690916,0,0,0,0,0,0,5.306885299,3.347121729,0
REGULATION OF HORMONE METABOLIC PROCESS,GOBP,GO:0032350,0,0,0,1.626490043,0,0,0,0,0,0,0,1.312512226,1.62880929,1.432404171
NUCLEOTIDE PHOSPHORYLATION,GOBP,GO:0046939,0,0,0,1.306502041,0,0,0,0,0,0,0,5.212508307,4.457982898,6.923706177
OLIGODENDROCYTE DIFFERENTIATION,GOBP,GO:0048709,0,3.33746224,0,0,0,0,0,0,4.082329032,0,0,1.740388015,1.709798183,0
NEGATIVE REGULATION OF NEUROGENESIS,GOBP,GO:0050768,0,0,0,0,0,0,0,0,7.80668697,0,1.87155779,16.65534414,3.565517021,0
REGULATION OF HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION,GOBP,GO:1901532,0,0,1.465688647,0,0,0,0,0,3.134113667,0,0,7.704351909,1.869973358,0
POSITIVE REGULATION OF INSULIN-LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0043568,0,0,0,0,0,0,1.381655802,0,0,1.420578836,0,3.483604951,1.761577446,0
NEGATIVE REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030178,0,0,0,0,0,0,0,0,2.648755921,0,2.41832909,9.178843473,4.519708234,0
ANION HOMEOSTASIS,GOBP,GO:0055081,0,0,0,0,0,0,0,0,2.500184764,0,0,3.288142799,3.214597879,1.44303248
MORPHOGENESIS OF AN EPITHELIAL FOLD,GOBP,GO:0060571,0,1.863892829,0,1.837361986,1.836163707,0,0,0,2.251352048,0,0,0,0,0
CHLORIDE ION HOMEOSTASIS,GOBP,GO:0055064,0,2.113073234,0,0,0,0,0,0,0,0,0,1.407908195,1.641491093,1.498720933
ATP METABOLIC PROCESS,GOBP,GO:0046034,0,0,0,0,0,0,0,0,2.283796556,0,0,4.748632641,4.6524324,2.270260057
REGULATION OF BONE MINERALIZATION,GOBP,GO:0030500,0,0,0,0,0,0,0,0,1.640219653,0,1.919419336,8.375528337,1.526894314,0
REGULATION OF CHEMOKINE (C-X-C MOTIF) LIGAND 2 PRODUCTION,GOBP,GO:2000341,0,0,0,1.837361986,0,1.598681327,0,0,0,1.306600232,0,0,0,1.397079872
POSITIVE REGULATION OF STRESS FIBER ASSEMBLY,GOBP,GO:0051496,0,0,0,0,0,0,0,0,3.88688451,0,4.445918771,7.486054583,2.038937335,0
REGULATION OF ACTOMYOSIN STRUCTURE ORGANIZATION,GOBP,GO:0110020,0,0,0,0,0,0,0,0,4.444517586,0,4.792635693,9.64565206,2.444860892,0
NEGATIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY,GOBP,GO:0061099,0,0,0,0,0,0,0,0,9.340832686,0,0,3.167088161,1.936122699,3.64693637
ATP BIOSYNTHETIC PROCESS,GOBP,GO:0006754,0,0,0,0,0,0,0,0,2.312159432,0,0,4.805541578,4.749844584,4.203778864
REGULATION OF MACROAUTOPHAGY,GOBP,GO:0016241,0,0,0,0,0,0,0,0,2.212669825,0,0,11.79871325,7.55964669,5.088712725
RESPONSE TO HYDROGEN PEROXIDE,GOBP,GO:0042542,0,0,0,0,0,0,0,0,3.130544352,0,2.654426666,6.042433749,0,2.913179209
CELL-CELL SIGNALING BY WNT,GOBP,GO:0198738,0,0,0,0,0,0,0,0,2.838148487,0,3.049361697,8.620834487,2.494757582,0
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION,GOBP,GO:0007204,0,0,0,0,0,0,1.47408878,0,2.932580171,0,0,2.335359632,1.494185795,0
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION,GOBP,GO:0032956,0,0,0,0,0,0,0,0,6.60784175,0,3.480760243,18.26730118,1.992102819,0
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS,GOBP,GO:2001026,0,0,0,0,0,0,0,0,5.36458859,4.49438821,0,5.265203438,4.800851913,0
UTERUS DEVELOPMENT,GOBP,GO:0060065,0,0,1.380228604,1.748186789,0,0,0,0,0,0,0,0,1.491455833,1.351268368
POLYOL BIOSYNTHETIC PROCESS,GOBP,GO:0046173,0,0,2.06053869,0,0,0,0,0,2.414716618,0,0,3.168548079,2.161047094,0
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION,GOBP,GO:0046635,0,0,0,0,0,0,1.38384983,0,5.00235526,0,1.38178544,0,0,1.485211954
REGULATION OF MESENCHYMAL CELL PROLIFERATION,GOBP,GO:0010464,0,0,0,0,0,0,0,0,2.639309195,2.56884309,0,3.579303717,2.109539432,0
EPITHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:1904019,0,1.624880684,0,0,0,0,1.714152396,0,1.731756648,0,0,2.756193577,0,0
GASTRULATION WITH MOUTH FORMING SECOND,GOBP,GO:0001702,0,1.320671349,0,0,0,1.752770943,0,0,1.877628924,0,0,1.546137387,0,0
PULMONARY VALVE DEVELOPMENT,GOBP,GO:0003177,0,0,0,0,0,0,0,1.445250972,0,0,1.587405412,4.233484667,2.375397884,0
POSITIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS,GOBP,GO:1904407,0,0,0,0,0,0,0,0,1.362094474,0,0,2.671373089,1.721028303,3.264743934
CELLULAR RESPONSE TO NITRIC OXIDE,GOBP,GO:0071732,0,0,0,0,0,0,0,0,1.382635075,0,0,5.371823593,1.641491093,1.498720933
POSITIVE REGULATION OF CARDIOCYTE DIFFERENTIATION,GOBP,GO:1905209,0,0,1.317180491,0,0,0,0,0,1.687548353,0,1.384616016,4.347638865,0,0
REGULATION OF CELL PROLIFERATION INVOLVED IN KIDNEY DEVELOPMENT,GOBP,GO:1901722,0,0,0,1.359463379,0,0,0,0,0,0,0,3.310511714,2.902607976,1.555501352
NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION,GOBP,GO:0050672,0,0,1.71541298,0,0,0,0,0,3.373594745,0,0,2.027308754,0,3.800959907
REGULATION OF AXONOGENESIS,GOBP,GO:0050770,0,0,0,0,0,0,0,0,7.305212952,2.755738317,0,10.22235474,1.690935485,0
TRABECULA MORPHOGENESIS,GOBP,GO:0061383,0,0,0,1.529365257,0,0,0,0,4.571656841,0,0,1.750041694,1.571916914,0
POSITIVE REGULATION OF HEART CONTRACTION,GOBP,GO:0045823,0,0,0,0,0,0,0,0,2.768203562,0,1.916470204,4.581516997,1.599936255,0
CELLULAR RESPONSE TO IONIZING RADIATION,GOBP,GO:0071479,0,0,0,0,0,0,0,0,1.916610064,0,0,5.520074368,2.497644777,4.629701805
REGULATION OF GLUCOSE TRANSMEMBRANE TRANSPORT,GOBP,GO:0010827,0,0,0,0,0,0,0,0,0,1.699920622,2.735510886,4.733948901,0,1.307792722
REGULATION OF HOMOTYPIC CELL-CELL ADHESION,GOBP,GO:0034110,0,0,1.871117897,0,0,0,0,0,2.577141991,0,1.384616016,3.468601852,0,0
"G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY, COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER",GOBP,GO:0007187,0,1.643850269,0,0,0,0,0,0,2.449959444,0,0,1.982024308,3.176492883,0
REGULATION OF T CELL DIFFERENTIATION IN THYMUS,GOBP,GO:0033081,0,0,2.038362347,0,0,0,0,0,0,0,0,2.091593232,2.15774055,1.94790915
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING,GOBP,GO:0051085,0,0,0,0,0,0,0,0,2.207242456,0,0,2.823220384,3.738130467,1.586570234
GLIAL CELL DIFFERENTIATION,GOBP,GO:0010001,0,4.174001031,0,0,0,0,0,0,12.98489113,0,0,8.526878677,2.39658778,0
POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION,GOBP,GO:0032930,0,0,2.048344944,0,0,0,0,0,5.806233432,0,0,1.919240122,0,3.508682037
WNT SIGNALING PATHWAY,GOBP,GO:0016055,0,0,0,0,0,0,0,0,2.838148487,0,3.049361697,8.620834487,2.494757582,0
REGULATION OF PROTEIN IMPORT,GOBP,GO:1904589,0,0,0,0,0,0,0,0,2.749322727,0,1.47084186,8.392628021,2.622776473,0
REGULATION OF LIPID LOCALIZATION,GOBP,GO:1905952,0,0,0,0,0,0,0,0,4.963597604,0,0,5.663670284,4.32665904,3.043905876
NEGATIVE REGULATION OF SUPRAMOLECULAR FIBER ORGANIZATION,GOBP,GO:1902904,0,1.41718998,0,0,0,1.611792751,0,0,1.355098435,0,0,9.352208577,0,0
VIRAL LIFE CYCLE,GOBP,GO:0019058,0,0,0,0,0,0,0,0,1.563277653,0,0,5.701708652,3.569447276,3.969802244
HEART PROCESS,GOBP,GO:0003015,0,0,0,0,0,0,2.424507094,0,0,0,2.112778597,6.00061149,0,1.355845777
REGULATION OF ESTABLISHMENT OF ENDOTHELIAL BARRIER,GOBP,GO:1903140,0,0,2.048344944,0,0,0,0,0,0,0,1.714737417,3.69588689,0,1.351268368
TOR SIGNALING,GOBP,GO:0031929,0,0,0,2.175101845,0,0,1.46575508,0,0,0,3.364615045,0,0,1.73113067
CELLULAR RESPONSE TO INTERLEUKIN-6,GOBP,GO:0071354,2.100736944,0,0,0,0,0,1.309261375,0,0,0,0,2.903824956,2.7578275,0
ATP GENERATION FROM ADP,GOBP,GO:0006757,0,0,0,1.577011264,0,0,0,0,0,0,0,1.799952584,4.439365338,4.013081893
NEGATIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,GOBP,GO:0090051,0,0,0,0,0,1.792889567,0,0,3.596283866,0,0,2.216368372,0,2.59113435
MAINTENANCE OF CELL NUMBER,GOBP,GO:0098727,0,0,0,0,0,1.967329305,0,0,2.446931948,0,0,5.25079969,1.457846383,0
NUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009124,0,0,0,0,0,0,0,0,1.841553387,0,0,7.582928087,4.769400718,4.119450585
REGULATION OF INTRACELLULAR TRANSPORT,GOBP,GO:0032386,0,0,0,0,0,0,0,0,7.276166204,0,0,17.11484468,5.995197589,5.264673671
REGULATION OF BIOMINERAL TISSUE DEVELOPMENT,GOBP,GO:0070167,0,0,0,0,0,0,0,0,1.8098201,0,3.074547357,8.954362758,1.812799489,0
NEGATIVE REGULATION OF AUTOPHAGY,GOBP,GO:0010507,0,0,0,0,0,0,0,0,2.01563607,1.59589297,0,4.70407578,1.992199821,0
COLUMNAR/CUBOIDAL EPITHELIAL CELL DEVELOPMENT,GOBP,GO:0002066,0,0,0,1.57133497,1.569647507,0,0,0,2.300526977,0,0,2.366022614,0,0
CELLULAR RESPONSE TO GROWTH HORMONE STIMULUS,GOBP,GO:0071378,0,1.475418664,0,1.516465005,0,0,0,0,0,0,0,2.434241958,2.375397884,0
NEGATIVE REGULATION OF LIPID TRANSPORT,GOBP,GO:0032369,0,0,0,0,0,0,0,0,1.687548353,2.536249315,0,0,2.063427153,1.855537309
OVULATION CYCLE,GOBP,GO:0042698,0,0,0,0,0,0,0,2.17275864,0,0,0,3.661730213,5.348508178,1.574977882
