,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
REGULATION OF ENDOCYTOSIS,GOBP,GO:0030100,2.496554828,0,1.379005543,0,0,0,0,2.180382965,0,0
SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS,GOBP,GO:0002200,1.601965019,2.237707479,1.672967837,0,0,0,0,0,0,0
GLIAL CELL DIFFERENTIATION,GOBP,GO:0010001,2.238929977,2.132393809,0,0,0,0,1.824663336,0,0,0
ESTABLISHMENT OF VESICLE LOCALIZATION,GOBP,GO:0051650,0,1.700070308,2.877613393,1.917310384,0,0,0,0,0,0
PROTEIN AUTOUBIQUITINATION,GOBP,GO:0051865,0,0,0,1.305400616,1.633404163,0,0,1.503727998,0,0
NEGATIVE REGULATION OF CELL DEVELOPMENT,GOBP,GO:0010721,2.935211526,0,1.503329285,0,0,0,0,0,2.098173893,0
VIRAL LIFE CYCLE,GOBP,GO:0019058,0,0,2.559592082,1.71483428,0,0,0,0,0,2.162558849
MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS,GOBP,GO:0072330,0,0,0,2.167760185,0,0,0,1.816177531,6.252285511,0
TOR SIGNALING,GOBP,GO:0031929,0,1.410724849,0,0,1.517695099,0,0,0,0,1.496229169
STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0031098,0,1.980861687,1.946379957,0,0,0,0,1.874622143,0,0
SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS VIA GERMLINE RECOMBINATION WITHIN A SINGLE LOCUS,GOBP,GO:0002562,2.005622355,2.765213183,1.618177037,0,0,0,0,0,0,0
ATP GENERATION FROM ADP,GOBP,GO:0006757,0,0,1.395190955,0,0,0,0,1.689863951,1.469032382,0
POSITIVE REGULATION OF PROTEASOMAL PROTEIN CATABOLIC PROCESS,GOBP,GO:1901800,0,0,1.362863486,0,0,1.44809473,0,1.527877383,0,0
RESPONSE TO FIBROBLAST GROWTH FACTOR,GOBP,GO:0071774,2.70764261,0,1.670574635,0,0,0,0,1.492131378,0,0
REGULATION OF INTRACELLULAR TRANSPORT,GOBP,GO:0032386,1.557829795,0,4.2602725,0,0,0,0,0,2.073192569,0
RESPONSE TO MONOSACCHARIDE,GOBP,GO:0034284,0,0,1.470095448,0,0,0,0,0,1.417961432,1.791411471
REGULATION OF CELL AGING,GOBP,GO:0090342,0,0,3.347591194,0,0,1.409233603,0,1.404027528,0,0
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0006919,0,1.58550148,1.979371278,0,0,0,0,0,2.266919995,0
NEGATIVE REGULATION OF RNA SPLICING,GOBP,GO:0033119,1.658721682,0,1.535095754,0,0,0,0,0,0,1.70614039
NEGATIVE REGULATION OF SECRETION,GOBP,GO:0051048,1.506660258,0,0,0,2.578740117,0,0,1.334392604,0,0
NEGATIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION,GOBP,GO:1902750,0,0,0,0,2.525025615,0,0,2.687674806,0,2.451244533
REGULATION OF HORMONE SECRETION,GOBP,GO:0046883,1.560914457,1.457734737,0,0,0,0,0,1.336737466,0,0
POSITIVE REGULATION OF DNA METABOLIC PROCESS,GOBP,GO:0051054,0,1.365230421,1.637335127,0,0,0,0,0,0,1.5727013
PRIMARY AMINO COMPOUND METABOLIC PROCESS,GOBP,GO:1901160,1.356027339,0,0,1.484598306,0,0,0,2.276338928,0,0
GENERATION OF PRECURSOR METABOLITES AND ENERGY,GOBP,GO:0006091,0,0,1.953773592,0,0,0,0,1.839851584,0,5.823025925
POSITIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:0032436,0,0,1.616593633,0,0,1.727828397,0,2.072179155,0,0
MAMMARY GLAND MORPHOGENESIS,GOBP,GO:0060443,0,0,2.064576137,2.121399646,0,1.613069351,0,0,0,0
REGULATION OF GLIOGENESIS,GOBP,GO:0014013,2.733841035,0,0,0,2.406960622,0,2.330782766,0,0,0
POSITIVE REGULATION OF PROTEIN BINDING,GOBP,GO:0032092,0,0,1.766335294,0,0,0,0,1.656523623,0,1.354343941
REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:2000351,0,0,0,0,0,0,0,2.76498088,1.953932662,3.885502689
G2 DNA DAMAGE CHECKPOINT,GOBP,GO:0031572,0,0,0,0,3.654157199,0,0,1.976591747,1.68762294,0
REGULATION OF ANGIOGENESIS,GOBP,GO:0045765,0,0,0,0,0,0,0,1.628034525,1.787755734,2.829778377
NEGATIVE REGULATION OF TOR SIGNALING,GOBP,GO:0032007,0,0,3.072086135,0,0,0,0,1.585946182,0,1.758281027
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051091,0,1.729755399,0,0,0,0,0,1.929201948,0,2.372983143
RESPONSE TO FATTY ACID,GOBP,GO:0070542,0,0,0,0,1.382989137,0,0,1.63373028,3.12774254,0
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,GOBP,GO:0042773,0,0,1.588326102,0,0,0,0,3.941272544,0,12.7827141
NEGATIVE REGULATION OF GLIAL CELL DIFFERENTIATION,GOBP,GO:0045686,0,0,0,0,1.851691647,0,3.673438665,0,1.313792885,0
REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0030808,0,0,0,1.479655228,0,0,0,1.936826799,0,4.772548865
TRIGLYCERIDE HOMEOSTASIS,GOBP,GO:0070328,0,0,0,0,1.372193275,2.810516809,2.90652252,0,0,0
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,GOBP,GO:0001938,1.674441961,0,1.588326102,0,0,0,0,0,0,1.753695049
NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009123,0,0,1.576686249,0,0,0,0,4.272067501,0,6.152741792
POSITIVE REGULATION OF CHROMATIN ORGANIZATION,GOBP,GO:1905269,1.693674628,0,2.550102387,1.527570623,0,0,0,0,0,0
POSITIVE REGULATION OF NUCLEOTIDE CATABOLIC PROCESS,GOBP,GO:0030813,0,0,1.535095754,0,0,0,0,1.568250062,0,2.605329625
PROGRAMMED NECROTIC CELL DEATH,GOBP,GO:0097300,0,1.410724849,0,0,0,0,0,1.363024217,1.799049537,0
INTRACELLULAR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0030522,0,0,1.647195719,1.720578951,0,0,0,0,0,1.43006924
NEGATIVE REGULATION OF ORGANELLE ORGANIZATION,GOBP,GO:0010639,0,1.696782155,2.702018696,0,0,1.414498502,0,0,0,0
SENSORY PERCEPTION OF PAIN,GOBP,GO:0019233,2.185773927,0,0,0,0,3.005431843,0,1.456121557,0,0
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION,GOBP,GO:0071826,0,0,2.080173319,0,0,0,0,1.488460418,0,7.005771958
RESPONSE TO GLUCOSE,GOBP,GO:0009749,0,1.365736735,1.374512025,0,0,0,0,0,0,1.990974309
HISTONE H3-K9 DEMETHYLATION,GOBP,GO:0033169,1.300756072,0,0,1.428309154,0,0,0,0,0,1.333328668
SPHINGOSINE BIOSYNTHETIC PROCESS,GOBP,GO:0046512,0,0,1.577084143,1.484598306,0,0,0,0,1.603253672,0
MAINTENANCE OF PROTEIN LOCALIZATION IN ORGANELLE,GOBP,GO:0072595,1.733071932,0,1.855429989,1.968511745,0,0,0,0,0,0
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009205,0,0,2.086809309,0,0,0,0,2.872360148,0,6.860873503
NEUROTRANSMITTER TRANSPORT,GOBP,GO:0006836,1.56434031,1.875241508,2.747396163,0,0,0,0,0,0,0
RESPONSE TO LIGHT STIMULUS,GOBP,GO:0009416,0,1.968911964,0,0,0,0,0,1.4999709,1.673068165,0
HISTONE DEMETHYLATION,GOBP,GO:0016577,1.378693273,0,0,1.556850087,0,0,0,0,0,2.207169139
MITOCHONDRION MORPHOGENESIS,GOBP,GO:0070584,0,1.944954328,2.791520799,0,0,0,0,0,0,2.036967117
ORGANIC HYDROXY COMPOUND BIOSYNTHETIC PROCESS,GOBP,GO:1901617,0,0,1.463352502,1.588720083,0,0,0,0,2.996844697,0
GLAND MORPHOGENESIS,GOBP,GO:0022612,1.632164401,0,0,1.944628232,0,1.689602045,0,0,0,0
ACYLGLYCEROL HOMEOSTASIS,GOBP,GO:0055090,0,0,0,0,1.372193275,2.810516809,2.90652252,0,0,0
ADULT BEHAVIOR,GOBP,GO:0030534,2.069958599,1.980861687,0,1.433527915,0,0,0,0,0,0
REGULATION OF TELOMERE MAINTENANCE,GOBP,GO:0032204,0,1.311249747,2.37563624,0,0,0,0,0,0,1.990575991
RESPONSE TO UV,GOBP,GO:0009411,0,0,1.973729827,0,0,0,0,0,1.787878107,1.660669382
AEROBIC RESPIRATION,GOBP,GO:0009060,0,0,2.457021523,0,0,0,0,3.73378747,0,5.792095679
RESPONSE TO LIPOPROTEIN PARTICLE,GOBP,GO:0055094,1.528193973,0,2.018630125,0,0,0,1.928187426,0,0,0
REGULATION OF AUTOPHAGY,GOBP,GO:0010506,0,0,5.836086672,0,0,0,0,3.061871439,1.671849225,0
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009161,0,0,1.813026942,0,0,0,0,3.633965311,0,6.562491901
VESICLE LOCALIZATION,GOBP,GO:0051648,0,1.615185924,3.427488264,1.832915189,0,0,0,0,0,0
MAINTENANCE OF PROTEIN LOCATION IN CELL,GOBP,GO:0032507,0,1.677830137,1.526396004,1.387549463,0,0,0,0,0,0
TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY,GOBP,GO:0033209,0,0,0,0,0,0,2.202341616,2.259432148,1.627104437,0
REGULATION OF NUCLEOTIDE CATABOLIC PROCESS,GOBP,GO:0030811,0,0,0,0,0,0,0,3.565278227,1.831040145,4.741692593
LEUKOCYTE CELL-CELL ADHESION,GOBP,GO:0007159,1.379483581,0,0,0,0,0,1.393037091,0,2.571425225,0
NEGATIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS,GOBP,GO:0097201,0,0,1.765009967,1.61234661,0,0,0,0,0,1.515134415
REGULATION OF COENZYME METABOLIC PROCESS,GOBP,GO:0051196,0,0,0,0,0,0,0,3.085417409,1.580309395,5.730551342
REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902105,1.694097386,0,0,0,1.355341775,0,0,1.449886745,0,0
ENTRY INTO HOST CELL,GOBP,GO:0030260,1.304393759,0,1.453715072,1.594414648,0,0,0,0,0,0
STEROID HORMONE MEDIATED SIGNALING PATHWAY,GOBP,GO:0043401,0,0,0,1.831727208,0,0,0,1.433040874,0,1.629709386
NEGATIVE REGULATION OF INSULIN SECRETION,GOBP,GO:0046676,0,0,0,0,1.417462354,0,0,1.93115213,1.653135387,0
POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION,GOBP,GO:0045648,0,0,2.515903952,0,0,0,0,1.327097371,0,2.257242959
CELL CYCLE ARREST,GOBP,GO:0007050,0,0,3.362316039,0,0,1.886037585,0,3.421674358,0,0
MONOSACCHARIDE BIOSYNTHETIC PROCESS,GOBP,GO:0046364,0,0,1.404121965,1.627161757,0,0,0,0,1.837347663,0
MITOTIC SPINDLE ORGANIZATION,GOBP,GO:0007052,1.70963517,0,0,0,0,5.942888999,0,0,0,1.814827411
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION,GOBP,GO:2001252,1.820833307,0,3.261227061,1.415295155,0,0,0,0,0,0
"RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS",GOBP,GO:0000375,0,3.147162908,3.52392911,0,0,0,0,0,0,3.545264236
MRNA DESTABILIZATION,GOBP,GO:0061157,1.344933267,0,0,0,0,0,0,2.79885974,0,1.389897187
ENTRY INTO CELL OF OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION,GOBP,GO:0051806,1.304393759,0,1.453715072,1.594414648,0,0,0,0,0,0
PRODUCTION OF MIRNAS INVOLVED IN GENE SILENCING BY MIRNA,GOBP,GO:0035196,1.488444467,2.243985739,0,0,1.545093197,0,0,0,0,0
RESPONSE TO ORGANOPHOSPHORUS,GOBP,GO:0046683,0,1.335581312,0,0,2.167352111,0,0,2.128122744,0,0
POSITIVE REGULATION OF COENZYME METABOLIC PROCESS,GOBP,GO:0051197,0,0,1.535095754,0,0,0,0,1.568250062,0,2.605329625
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM,GOBP,GO:0072599,0,1.599604193,0,0,0,0,0,4.331327971,0,28.98477958
PROTEIN SUMOYLATION,GOBP,GO:0016925,0,0,0,1.431291546,0,0,0,1.659269686,0,2.538858787
POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING,GOBP,GO:1901224,0,0,1.38355243,0,0,0,0,1.679713529,1.809902897,0
CYTOPLASMIC TRANSLATION,GOBP,GO:0002181,0,1.93986483,0,0,0,0,0,4.739215289,0,27.97951171
CELLULAR RESPONSE TO UNFOLDED PROTEIN,GOBP,GO:0034620,0,0,0,0,0,0,0,1.701400955,2.095354336,1.52006422
POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT,GOBP,GO:0060999,1.768361309,4.184109212,4.775420097,0,0,0,0,0,0,0
TRANSITION METAL ION HOMEOSTASIS,GOBP,GO:0055076,0,0,0,0,0,0,2.0743653,2.51707061,1.470402536,0
REGULATION OF PLASMA LIPOPROTEIN PARTICLE LEVELS,GOBP,GO:0097006,3.337479051,0,0,0,1.507063653,2.870224065,0,0,0,0
CEREBRAL CORTEX DEVELOPMENT,GOBP,GO:0021987,2.270665686,1.67465734,3.645016616,0,0,0,0,0,0,0
DSRNA PROCESSING,GOBP,GO:0031050,1.344933267,2.041967521,0,0,1.44123403,0,0,0,0,0
POSITIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:2000060,0,0,1.94197812,0,0,1.528894366,0,1.681099057,0,0
CELLULAR RESPONSE TO LOW-DENSITY LIPOPROTEIN PARTICLE STIMULUS,GOBP,GO:0071404,1.987669633,0,2.791520799,0,0,0,2.257676125,0,0,0
CERAMIDE METABOLIC PROCESS,GOBP,GO:0006672,1.591198686,0,1.480416131,0,0,0,0,0,1.597900371,0
NEGATIVE REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,GOBP,GO:0045717,1.356027339,0,0,0,0,0,0,2.276338928,5.516971276,0
ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0051017,1.307099215,0,4.174467877,1.524743413,0,0,0,0,0,0
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO OXIDATIVE STRESS,GOBP,GO:0043619,0,0,1.874509845,0,0,0,0,2.594468498,0,1.587675409
RIBOSOME BIOGENESIS,GOBP,GO:0042254,0,1.688085371,0,0,0,0,0,2.902508517,0,18.56501396
RIBOSE PHOSPHATE METABOLIC PROCESS,GOBP,GO:0019693,0,0,2.256578387,0,0,0,0,2.636976379,0,4.141320702
CELLULAR RESPONSE TO PEPTIDE,GOBP,GO:1901653,0,0,6.348176139,0,0,0,0,1.854862941,2.613962449,0
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,GOBP,GO:0042775,0,0,1.616593633,0,0,0,0,3.982872954,0,12.87768063
POSITIVE REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL,GOBP,GO:1903322,0,0,2.26247836,0,1.444463942,0,0,2.005572066,0,0
SULFUR COMPOUND METABOLIC PROCESS,GOBP,GO:0006790,0,0,0,0,0,0,4.157060135,0,2.167430752,1.870638009
REGULATION OF FATTY ACID OXIDATION,GOBP,GO:0046320,2.096218641,2.041967521,0,0,2.479296621,0,0,0,0,0
REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE,GOBP,GO:2000316,0,0,0,0,0,0,0,1.772645584,2.232668074,2.898456005
STEROID BIOSYNTHETIC PROCESS,GOBP,GO:0006694,0,0,1.814431821,0,0,1.347629812,0,0,2.767402499,0
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0030949,0,0,2.72931554,0,0,0,0,1.417734802,0,1.515134415
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY,GOBP,GO:0022618,0,0,2.047800305,0,0,0,0,1.656874826,0,6.798020179
REGULATION OF NEUROTRANSMITTER UPTAKE,GOBP,GO:0051580,2.831661147,1.823521958,1.795060974,0,0,0,0,0,0,0
RESPONSE TO X-RAY,GOBP,GO:0010165,0,1.410724849,0,0,0,1.807198574,0,1.363024217,0,0
REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS,GOBP,GO:0070228,1.404826938,0,1.404121965,0,0,0,0,0,0,1.461040251
PRIMARY ALCOHOL METABOLIC PROCESS,GOBP,GO:0034308,0,0,0,0,0,1.740908495,1.82931357,0,1.709100725,0
LUNG ALVEOLUS DEVELOPMENT,GOBP,GO:0048286,1.881121999,0,0,1.365170392,1.3296792,0,0,0,0,0
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA,GOBP,GO:0061418,0,1.8878146,0,0,0,0,0,3.73378747,0,2.680535223
RRNA PROCESSING,GOBP,GO:0006364,0,1.479274927,0,0,0,0,0,2.022830031,0,17.11140579
LOW-DENSITY LIPOPROTEIN PARTICLE CLEARANCE,GOBP,GO:0034383,1.706522059,0,0,0,2.883869981,1.993987485,0,0,0,0
GLUCOSE CATABOLIC PROCESS,GOBP,GO:0006007,0,0,1.374417947,0,0,0,0,1.439614915,1.88092342,0
COVALENT CHROMATIN MODIFICATION,GOBP,GO:0016569,0,0,1.874862614,3.288945536,0,0,0,1.541701427,0,0
CELLULAR RESPONSE TO CORTICOSTEROID STIMULUS,GOBP,GO:0071384,0,0,0,0,0,0,1.310549877,3.015854489,2.37171007,0
RAS PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0007265,0,0,0,1.575590298,0,0,0,1.802168527,2.425079992,0
NEGATIVE REGULATION OF CHROMOSOME ORGANIZATION,GOBP,GO:2001251,0,0,0,0,1.454439942,1.960128388,0,0,0,1.861163994
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS,GOBP,GO:1902850,1.820833307,0,0,0,0,6.510707328,0,0,0,1.936401673
NUCLEOBASE-CONTAINING COMPOUND TRANSPORT,GOBP,GO:0015931,0,0,2.830370632,0,0,0,0,1.54658582,0,3.689621485
"REGULATION OF MRNA SPLICING, VIA SPLICEOSOME",GOBP,GO:0048024,1.43933869,0,2.510902041,1.739262447,0,0,0,0,0,0
PURINE RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009167,0,0,2.118339359,0,0,0,0,3.994397754,0,7.067634947
REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY,GOBP,GO:0051438,0,0,2.96782489,0,0,0,0,1.837157652,0,2.049213585
SOMATIC CELL DNA RECOMBINATION,GOBP,GO:0016444,2.005622355,2.765213183,1.618177037,0,0,0,0,0,0,0
B CELL DIFFERENTIATION,GOBP,GO:0030183,3.276440329,3.154969845,2.450387724,0,0,0,0,0,0,0
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE,GOBP,GO:0006614,0,1.996262082,0,0,0,0,0,4.400839776,0,30.75632502
PROTEIN EXPORT FROM NUCLEUS,GOBP,GO:0006611,0,0,3.12081446,0,0,0,0,1.362618287,0,3.709213587
REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION,GOBP,GO:0033135,0,3.075629507,2.152860242,0,0,0,0,0,0,1.341960221
REGULATION OF NEURON PROJECTION DEVELOPMENT,GOBP,GO:0010975,1.507797409,2.804986397,2.394516197,0,0,0,0,0,0,0
MEMBRANE LIPID METABOLIC PROCESS,GOBP,GO:0006643,1.485193186,0,1.925527807,0,0,0,0,0,1.880211108,0
GLIOGENESIS,GOBP,GO:0042063,2.789541861,2.21363934,0,0,0,0,1.470624855,0,0,0
POSITIVE REGULATION OF ANGIOGENESIS,GOBP,GO:0045766,0,0,0,0,0,0,0,2.422659653,2.065466373,2.830845244
FEMALE PREGNANCY,GOBP,GO:0007565,0,2.0959654,0,0,0,4.088023599,0,0,3.177377841,0
SPHINGOLIPID METABOLIC PROCESS,GOBP,GO:0006665,1.354343118,0,1.637799803,0,0,0,0,0,2.065466373,0
RIBONUCLEOPROTEIN COMPLEX EXPORT FROM NUCLEUS,GOBP,GO:0071426,0,0,3.526680627,1.34627203,0,0,0,0,0,4.445951046
RESPONSE TO UNFOLDED PROTEIN,GOBP,GO:0006986,0,0,0,0,0,0,0,1.514051038,2.544767197,1.403576609
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE,GOBP,GO:0090150,0,1.321184001,1.657395928,0,0,0,0,0,0,18.06530265
POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0090263,0,2.429563553,1.671383188,2.495705508,0,0,0,0,0,0
AMINE METABOLIC PROCESS,GOBP,GO:0009308,0,0,0,1.856717245,0,0,2.102159185,1.456121557,0,0
ANTEROGRADE TRANS-SYNAPTIC SIGNALING,GOBP,GO:0098916,1.365795051,1.5062423,1.646973092,0,0,0,0,0,0,0
MITOTIC CELL CYCLE ARREST,GOBP,GO:0071850,0,0,0,0,0,2.288726297,0,3.068067285,1.443917037,0
REGULATION OF ATP BIOSYNTHETIC PROCESS,GOBP,GO:2001169,0,0,0,1.85891309,0,0,0,2.449143702,0,4.887653004
NEGATIVE REGULATION OF CELL GROWTH,GOBP,GO:0030308,0,0,0,1.450646617,0,0,0,2.051158707,2.26563496,0
RIBONUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0009259,0,0,2.288421801,0,0,0,0,2.865904778,0,4.429699775
POSITIVE REGULATION OF GLYCOLYTIC PROCESS,GOBP,GO:0045821,0,0,1.594599282,0,0,0,0,1.61541563,0,2.673085215
HISTONE MODIFICATION,GOBP,GO:0016570,0,0,1.933615127,3.346176412,0,0,0,1.580428914,0,0
NEGATIVE REGULATION OF KERATINOCYTE PROLIFERATION,GOBP,GO:0010839,1.416082676,0,0,0,0,4.161353651,0,1.352661508,0,0
PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009126,0,0,2.080173319,0,0,0,0,3.950046989,0,7.005771958
REGULATION OF GLUCOSE IMPORT,GOBP,GO:0046324,2.679200645,1.306980667,0,0,0,0,0,0,2.536300856,0
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO ENDOSOME,GOBP,GO:1905668,1.481727122,2.532178364,0,0,0,0,0,0,2.962614465,0
POSITIVE REGULATION OF CELL ADHESION,GOBP,GO:0045785,1.804885819,0,0,1.82061482,2.255306918,0,0,0,0,0
POSITIVE REGULATION OF DENDRITE MORPHOGENESIS,GOBP,GO:0050775,1.312438004,2.823208905,3.809518023,0,0,0,0,0,0,0
POSITIVE REGULATION OF GTPASE ACTIVITY,GOBP,GO:0043547,2.598221135,0,2.633539152,1.343634088,0,0,0,0,0,0
REGULATION OF LEUKOCYTE CELL-CELL ADHESION,GOBP,GO:1903037,0,0,0,1.480427165,0,0,1.394154795,0,0,1.443805379
LIMB DEVELOPMENT,GOBP,GO:0060173,0,1.590562203,0,1.642466511,0,0,0,1.485316824,0,0
CELLULAR RESPONSE TO LIGHT STIMULUS,GOBP,GO:0071482,0,0,0,0,0,0,0,1.915827649,2.928984235,1.707408102
PROTEIN POLYUBIQUITINATION,GOBP,GO:0000209,0,0,2.5751503,0,0,0,0,3.525393778,0,1.453069014
REGULATION OF PROTEIN UBIQUITINATION,GOBP,GO:0031396,0,0,2.334357736,0,0,0,0,3.933551654,0,2.042222434
NEGATIVE REGULATION OF GLUCOSE IMPORT,GOBP,GO:0046325,1.553987426,0,0,0,0,0,0,1.489421267,1.806701649,0
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION,GOBP,GO:1903039,0,0,0,2.04503298,0,0,1.912922864,0,0,1.341217512
NEUTROPHIL MEDIATED IMMUNITY,GOBP,GO:0002446,0,0,2.564626565,0,0,0,2.039887978,0,3.630244106,0
RIBONUCLEOPROTEIN COMPLEX LOCALIZATION,GOBP,GO:0071166,0,0,3.486953971,1.33234103,0,0,0,0,0,4.411572455
SNRNA METABOLIC PROCESS,GOBP,GO:0016073,1.369922877,1.774391921,0,0,0,0,0,1.681099057,0,0
CELLULAR AMINO ACID BIOSYNTHETIC PROCESS,GOBP,GO:0008652,0,0,0,0,0,0,0,2.517459005,1.385874736,1.560162755
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION,GOBP,GO:1902749,0,0,0,0,1.325923364,1.910850252,0,3.719104749,0,0
PROTEIN DEALKYLATION,GOBP,GO:0008214,1.312438004,0,0,1.488362191,0,0,0,0,0,2.112511282
REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,GOBP,GO:1904029,0,0,0,0,3.486469762,4.336362966,0,0,0,1.51450937
GLIAL CELL DEVELOPMENT,GOBP,GO:0021782,1.873708777,2.323886361,0,0,0,0,1.62543929,0,0,0
REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY,GOBP,GO:1904666,0,0,1.47872978,0,0,0,0,1.523343949,0,1.660291411
NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009141,0,0,1.951419042,0,0,0,0,2.891909617,0,6.179306221
CELLULAR RESPONSE TO GLUCOSE STARVATION,GOBP,GO:0042149,0,0,2.747933522,0,0,0,0,2.812118616,2.800205494,0
CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:0032869,0,0,4.656024263,0,0,0,0,1.429551844,2.44175291,0
CHEMICAL SYNAPTIC TRANSMISSION,GOBP,GO:0007268,1.365795051,1.5062423,1.646973092,0,0,0,0,0,0,0
RESPONSE TO HOST DEFENSES,GOBP,GO:0052200,0,2.64897746,2.888790208,0,0,0,0,1.489421267,0,0
REGULATION OF EPIDERMAL CELL DIFFERENTIATION,GOBP,GO:0045604,0,0,0,0,1.703469916,4.293742861,2.211439985,0,0,0
MAINTENANCE OF PROTEIN LOCATION,GOBP,GO:0045185,0,1.544503931,1.915534649,1.922723288,0,0,0,0,0,0
POSITIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0032233,0,1.704968983,2.049197973,2.045971669,0,0,0,0,0,0
NEGATIVE REGULATION OF GLIOGENESIS,GOBP,GO:0014014,3.683492933,0,0,0,2.371146626,0,2.90652252,0,0,0
SEMAPHORIN-PLEXIN SIGNALING PATHWAY INVOLVED IN NEURON PROJECTION GUIDANCE,GOBP,GO:1902285,0,2.426364015,0,2.670788599,0,0,0,0,1.665131289,0
POSITIVE REGULATION OF FATTY ACID METABOLIC PROCESS,GOBP,GO:0045923,1.962692336,3.598544208,0,0,2.371146626,0,0,0,0,0
REGULATION OF CERAMIDE BIOSYNTHETIC PROCESS,GOBP,GO:2000303,0,0,1.351489056,1.327645269,0,0,0,0,1.443917037,0
REGULATION OF FATTY ACID BETA-OXIDATION,GOBP,GO:0031998,1.924856839,2.856879109,0,0,1.851691647,0,0,0,0,0
