"","GOID","cluster","ClusterTheme","UserTheme","pVal","TERM"
"206","GO:0090557",70,"endothelial cell","allowing formation \ cell layers \ exert specific \ selective control \ solute composition",0.367157132408786,"establishment of endothelial intestinal barrier"
"207","GO:0090666",356,"salivary gland","cajal body",0.276588311354133,"scaRNA localization to Cajal body"
"208","GO:0098609",65,"adhesion molecules","adhesion molecules",0.00610085107720993,"cell-cell adhesion"
"209","GO:0098869",308,"include transport","process carried \ superoxide radicals \ toxicity superoxide",0.319890005761332,"cellular oxidant detoxification"
"210","GO:1900034",5,"cellular response","NA NA",0.4549160690685,"regulation of cellular response to heat"
"211","GO:1901215",343,"stem cell","NA NA",0.55413041548193,"negative regulation of neuron death"
"212","GO:1901800",184,"catabolic process","NA NA",0.4549160690685,"positive regulation of proteasomal protein catabolic process"
"213","GO:1901998",212,"interacting selectively","NA NA",0.28399130195862,"toxin transport"
"214","GO:1903416",279,"enzyme production \ movement secretion \ production gene \ secretion enzyme","NA NA",0.414176036971663,"response to glycoside"
"215","GO:1903779",386,"smooth muscle","NA NA",0.312856585981429,"regulation of cardiac conduction"
"216","GO:1904851",124,"protein localization","protein localization",0.0622898954601749,"positive regulation of establishment of protein localization to telomere"
"217","GO:1904871",124,"protein localization","protein localization",0.0622898954601749,"positive regulation of protein localization to Cajal body"
"218","GO:1904874",124,"protein localization","protein localization",0.0622898954601749,"positive regulation of telomerase RNA localization to Cajal body"
"219","GO:1990573",286,"plasma membrane","potassium ions",0.395801006054308,"potassium ion import across plasma membrane"
"220","GO:2000144",324,"subunit export","dna templated \ templated transcription \ transcription initiation",0.218582243390935,"positive regulation of DNA-templated transcription, initiation"
"221","GO:2000641",112,"er membrane","cytoplasmic proteasome \ er resident",0.00831006538156295,"regulation of early endosome to late endosome transport"
"222","GO:2001237",348,"apoptotic signaling","apoptotic signaling \ extrinsic apoptotic",0.449273531153636,"negative regulation of extrinsic apoptotic signaling pathway"
"223","GO:2001295",296,"biosynthetic process","malonyl coa \ malonyl derivative",0.665971724267698,"malonyl-CoA biosynthetic process"
