,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
CELLULAR RESPONSE TO EPIDERMAL GROWTH FACTOR STIMULUS,GOBP,GO:0071364,3.189177183,1.664585088,6.74755914,5.746923191,0,0,2.005571666,2.580408421,1.359283175,0,0,0,0,5.09788625,0,0,1.331923789,1.704753732,0,3.061100943,3.750726349,1.759076318
CELLULAR RESPONSE TO TOXIC SUBSTANCE,GOBP,GO:0097237,0,0,3.508062374,1.521681487,1.763444188,3.111603765,2.727520056,0,0,2.751080127,0,1.538087233,0,5.199863933,0,0,0,0,0,1.443139639,2.264873027,6.887827449
RESPONSE TO INTERLEUKIN-4,GOBP,GO:0070670,0,1.984091004,2.741052168,0,2.0097561,2.505179939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANATOMICAL STRUCTURE ARRANGEMENT,GOBP,GO:0048532,0,0,0,0,0,0,0,0,0,0,2.61135609,0,0,0,0,0,0,2.579437779,0,0,0,0
PROTEIN DEACYLATION,GOBP,GO:0035601,0,0,0,0,0,0,0,0,0,0,0,0,0,1.663734588,0,0,0,0,0,0,0,0
UV PROTECTION,GOBP,GO:0009650,1.784219635,0,0,0,0,0,0,0,0,0,0,0,0,1.458761432,0,0,0,0,0,0,0,0
EMBRYONIC PLACENTA DEVELOPMENT,GOBP,GO:0001892,1.346865208,1.565857069,2.150817718,0,0,0,0,0,0,0,0,0,0,3.772601365,0,0,1.549928505,0,0,5.804509512,1.733887522,3.199773872
PURINE NUCLEOSIDE BIOSYNTHETIC PROCESS,GOBP,GO:0042451,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632758389,0,0,0,0,0,0,0,0
LEUKOCYTE CHEMOTAXIS,GOBP,GO:0030595,2.625486841,1.314469495,0,0,0,0,0,0,0,0,0,0,0,1.62887348,0,0,0,0,0,1.904270033,2.074229944,3.305325226
REGULATION OF MONOOXYGENASE ACTIVITY,GOBP,GO:0032768,0,0,2.295579134,2.074069598,1.534890065,1.807088541,0,0,0,0,0,0,0,1.862973294,0,0,0,0,0,2.463437189,4.096914895,2.183685112
REGULATION OF MONOCYTE CHEMOTAXIS,GOBP,GO:0090025,3.004063691,2.19084355,0,0,0,0,0,0,1.715567146,0,0,0,0,0,0,0,0,0,0,0,0,0
METANEPHROS DEVELOPMENT,GOBP,GO:0001656,0,1.619396696,0,0,0,1.466696715,0,0,0,0,0,0,0,0,0,0,2.428730514,0,0,2.597226462,0,4.177226135
REGULATION OF ENDOTHELIAL CELL DIFFERENTIATION,GOBP,GO:0045601,0,0,1.796418647,0,0,0,0,0,0,1.480887382,0,0,0,0,0,0,0,0,0,2.472607869,4.137890607,0
RECOMBINATIONAL REPAIR,GOBP,GO:0000725,0,1.784457368,2.054833498,1.801405301,0,0,0,1.507226136,2.023274952,0,0,0,0,0,0,0,0,0,0,1.413336453,0,0
NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0045912,0,1.467987592,3.341701063,0,1.640665144,0,0,4.724492906,0,2.1019791,0,0,0,2.097429567,0,1.648882329,0,0,0,2.715254935,0,0
REGULATION OF HEMOSTASIS,GOBP,GO:1900046,2.521923447,3.681676803,2.010914611,1.49574873,0,0,0,0,0,2.284475855,0,0,0,0,0,0,0,2.016486535,1.427046912,1.744029293,3.143261084,3.06033657
REGULATION OF ARP2/3 COMPLEX-MEDIATED ACTIN NUCLEATION,GOBP,GO:0034315,2.308558718,0,2.604772562,0,0,0,1.689094414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO GLUCAGON STIMULUS,GOBP,GO:0071377,0,0,2.195050448,0,0,0,0,0,0,0,0,0,0,1.537643247,0,0,0,0,0,0,1.345542321,1.31690125
NEGATIVE REGULATION OF NUCLEAR DIVISION,GOBP,GO:0051784,0,2.229290327,4.102798382,0,0,0,0,0,0,0,0,1.736818603,0,1.418662708,1.758195525,0,2.071398922,3.86241372,0,0,0,0
BIOMINERAL TISSUE DEVELOPMENT,GOBP,GO:0031214,1.815062223,0,0,0,0,0,0,0,0,1.46347346,0,3.410293871,0,4.210494294,1.330303587,0,0,0,0,1.7046852,0,2.245287132
ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0095500,0,0,1.332896642,0,0,1.536842925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,GOBP,GO:0048660,5.750411159,3.28355321,2.466602085,5.665933242,2.500849178,4.581634171,1.918867626,1.98414263,0,3.171684777,1.579423912,0,1.709678575,2.825282508,0,2.516739405,1.660133868,3.264216563,1.950447881,6.261438987,5.250989093,7.825506308
RESPONSE TO PLATELET-DERIVED GROWTH FACTOR,GOBP,GO:0036119,0,1.532918083,2.774210903,1.540943238,0,0,0,0,2.009923907,0,0,0,0,1.953804862,0,0,0,0,0,0,2.782668877,1.599695813
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,GOBP,GO:0002483,0,0,0,0,0,0,0,2.214796827,0,3.399647734,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF MAMMARY GLAND EPITHELIAL CELL PROLIFERATION,GOBP,GO:0033599,0,0,0,0,0,0,1.865773541,0,0,0,0,0,0,0,0,0,2.075533127,2.470001134,0,0,0,0
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,GOBP,GO:1902041,1.821411652,2.893126412,5.443811382,2.91237555,2.61819347,0,0,2.205079026,2.964765472,0,0,0,0,2.537392326,0,0,0,0,0,5.135388323,5.143587264,4.00916782
REGULATION OF CELL MATURATION,GOBP,GO:1903429,3.278302093,0,0,0,0,0,0,0,0,0,0,0,1.848788225,0,0,2.298855762,0,2.209144609,0,0,0,1.444362831
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050680,3.699315293,2.114362356,7.330357817,0,0,0,3.515254729,0,1.801318763,0,0,1.355278897,0,3.037343129,1.907898187,0,5.143859305,3.391424042,3.024952136,3.489530835,3.822194829,2.285173502
NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0046627,1.690941489,2.831096353,2.563559706,1.888821649,0,2.393519983,0,1.656463478,3.783602812,0,0,0,0,0,0,0,3.725146234,1.855135855,2.155356253,1.616865027,5.345680301,1.974154602
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0000079,3.653356585,1.305086483,10.67260862,3.354940992,2.953642959,5.496037569,6.048746659,4.364256824,2.976554661,1.345436196,1.905200324,5.922136062,2.127728763,5.271150123,0,0,8.137612019,10.13343514,2.289895624,8.722035812,3.642692393,10.48937812
B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002312,0,1.513389644,2.67480518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60577859
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE,GOBP,GO:0002821,2.670241021,1.736230661,0,0,0,0,0,0,0,0,0,1.521310532,0,0,0,0,0,0,0,0,0,2.547435541
ANGIOGENESIS,GOBP,GO:0001525,5.927150598,7.003097941,7.872803427,4.473400569,0,3.227933138,0,1.792255778,3.09192788,1.386750766,3.063947314,3.210324321,3.09192788,6.573193456,0,2.51069354,4.298614885,2.283821836,0,8.755764822,7.091805587,8.322933242
SCF-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:0031146,0,0,1.857707756,0,0,0,3.38605308,0,0,0,0,0,2.224630314,2.111637954,0,0,0,0,0,1.629513579,0,0
REGULATION OF FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0040036,2.942821371,2.146152828,2.137650638,0,3.526587492,0,0,3.095942221,1.685620202,1.661827278,0,0,0,1.496330601,0,0,4.113474268,4.909464571,0,2.837842076,2.289891855,3.340669559
CHROMOSOME SEPARATION,GOBP,GO:0051304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072763195,0,1.921384614,0,0
REGULATION OF MULTICELLULAR ORGANISM GROWTH,GOBP,GO:0040014,3.312233531,5.692122084,0,1.996759464,1.493851767,1.747750363,1.591114912,0,0,0,0,1.552040556,1.919773849,0,0,0,1.878953707,2.436652991,0,0,2.160563173,0
FEAR RESPONSE,GOBP,GO:0042596,0,0,0,0,0,1.509471179,0,0,0,0,0,0,0,2.201831126,0,0,0,0,0,0,0,0
MEMBRANE RAFT ASSEMBLY,GOBP,GO:0001765,0,0,1.518553728,0,1.339638599,0,0,0,0,0,0,0,0,0,0,0,4.203827616,0,3.251489375,0,0,0
NEGATIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0046580,1.31496815,0,0,5.28047105,1.657088886,0,0,3.525117489,2.161220302,0,0,0,0,1.473671422,0,0,2.119421783,2.687796386,0,0,0,0
REGULATION OF PROTEIN LOCALIZATION TO ENDOSOME,GOBP,GO:1905666,1.716437377,1.849585593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015636515,0,3.288351405,0
REGULATION OF T CELL CHEMOTAXIS,GOBP,GO:0010819,1.54361515,0,0,0,0,0,0,0,0,0,0,3.185483714,2.156982059,2.167896234,0,0,0,0,0,0,0,0
REGULATION OF TRANSPORTER ACTIVITY,GOBP,GO:0032409,0,2.157074612,6.431622207,0,0,0,3.689340536,0,0,0,1.891296304,0,1.612340213,5.082288713,0,0,3.954906506,0,0,3.782504319,3.048390489,5.337909663
MALE GONAD DEVELOPMENT,GOBP,GO:0008584,2.851419843,0,0,1.458678285,0,3.73218589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF RECEPTOR-MEDIATED ENDOCYTOSIS,GOBP,GO:0048260,4.511276384,1.383496567,3.134781127,1.394302399,2.685557217,1.870161344,0,0,4.166928207,2.01000209,1.531207196,0,0,1.958589574,0,0,4.094832597,0,0,0,3.233801871,0
LYMPHANGIOGENESIS,GOBP,GO:0001946,0,0,2.296424569,0,0,0,0,0,2.337299044,0,0,2.065827348,0,0,0,2.796817784,0,0,0,0,0,1.918286683
ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007188,1.934269998,1.427371904,0,0,0,2.372002153,0,0,0,0,0,0,0,1.311129736,0,0,0,0,0,0,2.170382651,1.594571437
NEGATIVE REGULATION OF CARDIOCYTE DIFFERENTIATION,GOBP,GO:1905208,0,3.705203198,0,0,2.368543041,1.802345988,0,0,0,0,0,0,0,1.832252732,0,0,0,0,0,0,0,1.517876616
CELLULAR COPPER ION HOMEOSTASIS,GOBP,GO:0006878,0,0,0,1.736773272,0,0,0,0,0,0,0,0,0,0,0,0,2.183212077,0,0,0,0,0
REGULATION OF EXECUTION PHASE OF APOPTOSIS,GOBP,GO:1900117,0,0,0,0,0,0,0,0,0,0,0,0,0,1.763392658,0,0,0,0,0,3.159982589,0,0
POSITIVE REGULATION OF FATTY ACID OXIDATION,GOBP,GO:0046321,0,5.825958075,0,1.736773272,2.661653412,0,0,2.372712392,0,0,0,0,0,2.250036712,0,0,0,0,0,0,0,1.796645252
REGULATION OF AMINO ACID TRANSMEMBRANE TRANSPORT,GOBP,GO:1903789,1.654252205,0,2.200722032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF HUMORAL IMMUNE RESPONSE,GOBP,GO:0002920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387910437,0,0
MANGANESE ION TRANSPORT,GOBP,GO:0006828,1.654252205,1.786689975,2.200722032,0,0,0,2.031242437,0,0,0,0,2.002003254,0,0,0,0,2.243022332,0,1.309276606,0,0,3.141281407
DEVELOPMENTAL MATURATION,GOBP,GO:0021700,0,0,1.325720103,1.429162579,2.419121842,0,0,1.813523483,0,0,0,0,2.071838342,1.630127107,0,0,2.001148247,0,0,1.742817928,0,0
POSITIVE REGULATION OF RESPONSE TO WOUNDING,GOBP,GO:1903036,3.520833424,2.318964814,3.53271369,0,0,1.466696715,0,1.848250762,2.483141829,3.37653178,0,0,0,2.509975999,0,0,3.365091128,2.134065826,0,5.036663729,5.246510547,5.129687705
BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,GOBP,GO:0043534,0,0,0,0,0,0,0,1.783258054,0,0,2.01503804,0,1.629093843,4.076992587,0,2.072604459,2.726879362,0,0,0,2.204735711,2.160772144
CELLULAR RESPONSE TO INTERFERON-GAMMA,GOBP,GO:0071346,2.303456658,0,3.314179546,0,1.427973431,0,0,2.420777816,0,2.025874748,0,0,0,0,0,0,1.390689366,0,0,0,1.83180129,0
SMOOTHENED SIGNALING PATHWAY,GOBP,GO:0007224,0,0,0,0,1.394655569,2.446757229,0,1.994020687,0,0,0,1.413688931,0,1.562652132,0,0,0,0,0,0,0,0
CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0060070,0,0,4.760564505,0,3.227349831,2.157901839,0,0,0,2.339873254,0,0,0,2.357144668,1.376550791,0,3.239206374,0,0,0,0,1.646805082
NEGATIVE REGULATION OF TISSUE REMODELING,GOBP,GO:0034104,0,0,0,0,0,0,0,0,1.966415769,0,0,0,0,0,0,0,0,0,0,0,0,1.557642381
POSITIVE REGULATION OF DENDRITE DEVELOPMENT,GOBP,GO:1900006,1.548246542,8.460384671,7.284991369,4.285609724,0,0,0,0,0,0,1.337183968,1.397792704,0,3.503492081,0,1.391145106,0,0,0,1.458716228,0,0
PROTEIN IMPORT INTO NUCLEUS,GOBP,GO:0006606,0,0,0,1.3739751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593580024,0,0
PIGMENT GRANULE MATURATION,GOBP,GO:0048757,0,0,0,0,1.339638599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTEIN O-LINKED MANNOSYLATION,GOBP,GO:0035269,0,0,0,0,0,0,1.817625295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF TRANSCRIPTION ELONGATION FROM RNA POLYMERASE II PROMOTER,GOBP,GO:0034244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544039672,0,0
REGULATION OF CELL CYCLE CHECKPOINT,GOBP,GO:1901976,0,0,0,0,0,0,2.336510821,0,1.57656667,1.553038343,0,0,0,0,0,0,0,1.929832066,0,0,0,0
POSITIVE REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY,GOBP,GO:0002888,3.96714728,0,0,2.115156864,0,0,0,0,0,0,0,1.39901794,0,0,0,0,0,0,0,0,0,0
SUBSTRATE-DEPENDENT CELL MIGRATION,GOBP,GO:0006929,0,2.337157204,1.545190417,1.352893129,0,0,0,0,0,0,0,0,0,0,0,0,1.784461314,0,0,0,0,0
MEIOTIC CHROMOSOME SEPARATION,GOBP,GO:0051307,0,0,0,1.459679668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,GOBP,GO:1902253,0,0,1.411876393,0,0,0,2.549039601,0,0,1.69170784,0,0,1.715567146,2.369838861,0,0,0,0,0,0,0,0
"TRANS-SYNAPTIC SIGNALING, MODULATING SYNAPTIC TRANSMISSION",GOBP,GO:0099550,0,0,0,2.084671941,0,0,0,0,0,0,0,0,0,0,1.409616198,0,0,0,0,1.886564955,0,0
REGULATION OF LEUKOCYTE CHEMOTAXIS,GOBP,GO:0002688,7.086650103,0,2.778363815,0,0,0,0,0,0,1.807621188,0,3.512264533,1.849981242,2.572594643,0,0,0,0,0,3.598553837,2.433506898,3.814197011
REGULATION OF HEART GROWTH,GOBP,GO:0060420,2.425832583,1.933095254,4.272012976,2.748051688,1.467732477,0,2.37720957,3.133264734,0,0,0,1.515447399,0,1.717562429,0,0,2.772328563,0,0,3.08661755,3.890794712,1.323241339
POSITIVE REGULATION OF ACTIN NUCLEATION,GOBP,GO:0051127,2.742217274,0,3.188862631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82687313,0
REGULATION OF NATURAL KILLER CELL PROLIFERATION,GOBP,GO:0032817,0,2.076285127,1.518553728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHROMATIN DISASSEMBLY,GOBP,GO:0031498,0,0,0,0,0,0,0,0,0,0,0,0,2.055977791,0,0,0,0,0,0,0,0,0
VENTRICULAR CARDIAC MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0003229,2.726053993,0,1.794994615,1.41473066,0,0,0,0,3.084102913,0,0,0,3.084102913,2.699920705,0,0,2.025459812,2.589942871,0,0,0,2.296073987
POSITIVE REGULATION OF AMINO ACID TRANSPORT,GOBP,GO:0051957,2.657415648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTCH SIGNALING PATHWAY,GOBP,GO:0007219,0,0,2.863589072,0,1.786287579,0,0,2.169052279,0,1.845238797,0,0,0,2.649452444,0,0,0,0,2.096282738,0,0,0
RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009201,0,0,2.459781076,0,0,1.309929358,1.831499941,0,1.470603184,0,0,0,0,0,0,0,0,0,0,1.666531575,0,5.603600955
SPECIFICATION OF ANIMAL ORGAN IDENTITY,GOBP,GO:0010092,1.447580413,0,0,1.585260903,2.502113196,1.932039714,0,0,0,0,0,0,2.055977791,2.020434413,0,0,0,0,0,1.395714725,0,0
REGULATION OF CELL DIVISION,GOBP,GO:0051302,3.875493109,0,2.088853077,0,0,0,0,1.596349685,0,0,2.811601468,2.576762236,1.948322853,4.634825232,1.52794076,0,3.298323311,6.644666291,0,5.662272559,2.855934042,4.83798334
NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY,GOBP,GO:1904667,0,0,2.401321715,0,0,0,0,0,0,0,0,0,0,1.458761432,0,0,0,0,0,0,0,0
MAMMARY GLAND LOBULE DEVELOPMENT,GOBP,GO:0061377,0,0,4.103065575,2.791455145,0,0,1.865773541,0,0,0,0,1.836856876,0,3.151887204,0,0,2.075533127,0,0,2.497936593,1.721692896,1.691732543
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,GOBP,GO:0070059,0,0,2.679667496,1.958934761,0,0,0,2.884805858,0,0,0,0,0,1.314158266,0,0,0,0,0,0,2.088407064,0
PARAXIAL MESODERM DEVELOPMENT,GOBP,GO:0048339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.882473599
B CELL HOMEOSTASIS,GOBP,GO:0001782,2.092045054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377732936
NEGATIVE REGULATION OF CELLULAR RESPONSE TO DRUG,GOBP,GO:2001039,0,1.728588384,0,1.736773272,2.661653412,0,3.316591538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.458677601
COLLAGEN-ACTIVATED TYROSINE KINASE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0038063,1.784219635,1.918080242,0,0,0,3.799487715,0,0,2.40759029,2.38272413,0,0,2.40759029,1.458761432,1.33212724,0,2.377839854,0,0,4.356539863,2.017736023,0
CYCLIC PURINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0052652,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723818043,0,0,0,0,0,0,0,2.491890301
"POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC",GOBP,GO:0051968,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418925598,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO ELECTRICAL STIMULUS,GOBP,GO:0071257,0,0,1.36819058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO LITHIUM ION,GOBP,GO:0071285,0,0,1.303594325,1.857850952,0,0,0,0,0,2.312500651,0,0,0,2.435578002,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN,GOBP,GO:0035967,1.909454408,0,0,1.734621127,0,1.318267486,1.685155883,1.783882926,0,0,0,0,0,0,0,0,0,0,0,3.47786207,2.559481843,2.47135698
PROTEIN TETRAMERIZATION,GOBP,GO:0051262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.784622705,0,0
POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,GOBP,GO:0002705,4.767630354,1.894073991,1.441422409,1.913757155,0,0,0,0,0,1.604483906,0,2.425821603,0,0,0,0,0,0,0,0,0,0
ANTEROGRADE AXONAL TRANSPORT,GOBP,GO:0008089,0,0,0,0,0,0,0,0,0,0,0,0,0,2.378383505,0,0,2.277895587,0,0,0,0,0
NUCLEAR TRANSPORT,GOBP,GO:0051169,0,0,1.530377204,0,0,0,0,0,0,0,0,1.630085991,0,0,0,0,0,0,0,1.379669308,0,0
BONE TRABECULA MORPHOGENESIS,GOBP,GO:0061430,0,0,0,0,0,0,0,0,0,0,1.314635585,0,0,0,0,0,0,0,0,0,0,0
POSITIVE CHEMOTAXIS,GOBP,GO:0050918,1.359993933,1.536958968,1.376984626,1.548067793,0,0,1.872289759,0,0,0,0,0,2.211683768,2.21130476,0,0,0,0,0,2.836621676,3.516929071,1.629696857
REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,GOBP,GO:1903555,9.905456733,4.855596709,2.848254107,3.447849316,3.093237148,0,3.602663692,1.717881673,0,3.539869765,0,2.137234156,0,1.796065061,0,0,2.038313038,1.337924862,2.629718488,3.318523644,7.058215003,7.767674151
REGULATION OF LIPID METABOLIC PROCESS,GOBP,GO:0019216,5.074222426,8.102119466,6.80724541,4.452157899,2.658005703,5.522967758,3.068061437,4.316630494,2.986653217,2.349456228,1.369766282,4.023683175,2.432823238,8.49984417,1.733344831,0,4.072172848,0,2.586424617,9.436597611,3.922054083,6.719434225
POSITIVE REGULATION OF CELL-CELL ADHESION,GOBP,GO:0022409,8.101683181,7.072415299,5.508169646,5.730600782,2.032108309,1.381400025,0,4.076673048,0,2.721229982,0,1.963591409,0,4.191096193,0,4.39185734,3.345164559,0,0,3.360607272,3.70374312,5.452414519
REGULATION OF PROTEIN DEACETYLATION,GOBP,GO:0090311,0,0,6.643541861,4.539021859,0,0,0,1.490014529,0,0,0,1.936436756,0,0,3.17989478,0,0,0,0,1.386334686,2.685038907,2.627163435
NEGATIVE REGULATION OF CELL JUNCTION ASSEMBLY,GOBP,GO:1901889,0,0,0,2.349287124,0,0,0,1.9697262,0,0,0,0,0,0,0,0,0,0,0,0,0,2.438076528
NEUTROPHIL DEGRANULATION,GOBP,GO:0043312,2.11954668,2.019977845,5.168469356,1.383315389,0,0,4.224268046,0,0,0,0,0,0,1.986893366,0,0,1.731266064,0,0,3.335166682,4.34688159,0
REGULATION OF VENTRICULAR CARDIAC MUSCLE CELL ACTION POTENTIAL,GOBP,GO:0098911,0,0,2.112831376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.240018186,0,0,0,0
CARDIAC CONDUCTION SYSTEM DEVELOPMENT,GOBP,GO:0003161,0,0,0,0,0,0,0,0,0,1.458355445,0,0,0,0,0,0,0,0,0,2.427517454,0,0
NEUROINFLAMMATORY RESPONSE,GOBP,GO:0150076,5.725959307,0,1.754731041,0,0,0,0,4.052397978,0,2.504396826,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF INCLUSION BODY ASSEMBLY,GOBP,GO:0090083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.815641122,3.008678229,1.742373805
REGULATION OF MEMBRANE REPOLARIZATION,GOBP,GO:0060306,0,0,0,0,0,0,0,0,0,0,0,0,0,2.897832565,0,0,1.523578792,0,0,0,0,0
POSITIVE REGULATION OF ANIMAL ORGAN MORPHOGENESIS,GOBP,GO:0110110,3.486171761,1.601258242,4.207785125,1.615200776,2.233866668,0,0,0,2.462929644,0,0,2.7798765,0,2.478362319,0,0,3.339181519,0,1.495222737,4.124645398,7.297689489,6.091499119
"NEGATIVE REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR",GOBP,GO:0043518,1.596859109,0,2.112831376,0,0,0,1.972106698,2.372712392,0,0,0,0,0,2.250036712,0,0,0,0,0,0,0,1.796645252
AMYLOID-BETA FORMATION,GOBP,GO:0034205,0,0,5.422467823,0,0,0,0,0,0,0,0,0,0,2.788527935,0,0,0,0,0,0,0,0
"REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION",GOBP,GO:2000514,3.94247599,0,1.428452093,0,0,0,0,0,0,0,0,2.22681389,0,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF CALCIUM ION IMPORT,GOBP,GO:0090281,0,0,0,0,0,0,0,0,0,0,0,0,0,1.610834755,0,0,0,0,0,0,0,0
ATP TRANSPORT,GOBP,GO:0015867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441816039,0,0
POSITIVE REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901186,0,1.720806366,3.097684394,3.631647367,0,3.309901875,0,2.641448847,1.39775594,0,0,0,0,7.428783333,0,1.831984737,4.736355331,0,0,0,3.853346029,2.744325966
POSITIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION,GOBP,GO:1902751,2.827614659,0,2.030108401,3.104303724,0,0,1.399671842,0,1.629093843,0,0,0,0,0,0,0,0,1.983928856,0,0,0,0
REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING SIGNALING PATHWAY,GOBP,GO:0070424,0,0,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,4.202986241,1.948783291,3.24181148
NEGATIVE REGULATION OF CELLULAR PROTEIN LOCALIZATION,GOBP,GO:1903828,3.153774477,0,2.834829444,2.240049394,0,0,3.650797973,0,0,2.593999303,0,0,1.875081008,1.596928787,0,1.787931377,0,0,0,0,3.192998177,3.099177647
SYMPATHETIC NERVOUS SYSTEM DEVELOPMENT,GOBP,GO:0048485,0,0,1.700821115,3.721852687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0000070,0,0,0,0,1.690236792,0,0,0,0,0,1.623699513,1.926873419,0,2.403650345,1.879392488,0,0,11.74147417,0,0,0,0
TELENCEPHALON CELL MIGRATION,GOBP,GO:0022029,0,3.899454298,1.731007025,0,0,0,0,0,0,0,2.589991938,0,0,0,0,0,0,0,0,1.779278919,0,0
POSITIVE REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:0010971,1.998300381,0,2.195050448,3.283470772,0,0,1.483928885,0,1.715567146,0,0,0,0,0,0,0,0,2.072763195,0,0,0,0
STAT CASCADE,GOBP,GO:0097696,2.110491604,2.35656391,4.366579086,1.548067793,1.691059028,3.041254433,0,0,0,0,0,0,0,0,0,0,0,0,1.908070983,2.836621676,2.542132034,0
