,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
NEGATIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT,GOBP,GO:1901862,0,0,0,1.869121095,0,0,0,1.546109199,0,0,1.301706544,0,1.533795519,0
RESPONSE TO ACID CHEMICAL,GOBP,GO:0001101,0,0,0,2.940300526,2.969628354,0,1.974289049,0,1.897940205,0,0,0,0,0
LIMB MORPHOGENESIS,GOBP,GO:0035108,0,0,0,1.875693398,1.890751587,1.789759184,0,4.018551758,0,0,0,0,0,0
MAINTENANCE OF LOCATION IN CELL,GOBP,GO:0051651,0,0,2.037547923,1.434905953,0,1.376550791,0,0,0,0,0,0,0,1.325769096
EYE DEVELOPMENT,GOBP,GO:0001654,0,0,0,0,2.063943085,1.910056799,0,0,1.580771272,0,0,0,1.620392955,0
POSITIVE REGULATION OF NEUROTRANSMITTER TRANSPORT,GOBP,GO:0051590,0,3.004130716,0,0,0,2.071455146,0,1.803953871,0,0,0,1.896805669,0,0
PURINE RIBONUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009168,0,0,1.840623101,4.532812532,0,0,0,0,0,0,0,0,2.589824508,1.904775542
CELLULAR CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0044262,0,1.816836856,0,1.610812277,0,3.24865868,0,0,0,0,0,1.884428798,0,0
RESPONSE TO ORGANOPHOSPHORUS,GOBP,GO:0046683,0,0,2.311568477,0,0,0,3.678988359,0,1.438067407,1.866894021,0,0,0,0
CALCIUM-MEDIATED SIGNALING,GOBP,GO:0019722,0,0,0,2.749217273,1.839959414,0,1.686484959,0,2.100259007,0,0,0,0,0
POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING,GOBP,GO:1901224,2.401553668,2.928555998,2.037547923,0,0,3.498535261,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN STABILITY,GOBP,GO:0031647,0,0,0,0,2.349518367,0,2.10584557,3.643966463,0,0,0,1.318724927,0,0
CELL CYCLE G2/M PHASE TRANSITION,GOBP,GO:0044839,0,1.376040194,0,0,0,0,0,1.403615162,0,0,0,2.59185979,0,1.496668743
REGULATION OF PHOSPHOLIPASE C ACTIVITY,GOBP,GO:1900274,0,0,2.717466259,0,0,0,1.787240964,2.662905859,3.407348515,0,0,0,0,0
FC RECEPTOR SIGNALING PATHWAY,GOBP,GO:0038093,0,0,1.45372862,0,0,0,1.778931547,2.726900856,2.414267371,0,0,0,0,0
PURINE-CONTAINING COMPOUND METABOLIC PROCESS,GOBP,GO:0072521,0,0,0,3.317946969,0,0,0,0,3.137876982,0,0,2.558369595,1.433370855,0
RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0046390,0,0,1.634786031,4.962698312,0,0,0,0,0,0,0,0,1.899395062,1.476373294
NEGATIVE REGULATION OF MAP KINASE ACTIVITY,GOBP,GO:0043407,0,2.06113203,0,2.572519058,1.516087746,0,1.410144396,0,0,0,0,0,0,0
ACTIN FILAMENT ORGANIZATION,GOBP,GO:0007015,0,2.413246889,0,0,1.799788306,0,1.609234696,0,1.623737047,0,0,0,0,0
CEREBRAL CORTEX DEVELOPMENT,GOBP,GO:0021987,0,6.703592252,0,0,0,3.016394818,0,1.646376547,1.378748628,0,0,0,0,0
NUCLEOTIDE CATABOLIC PROCESS,GOBP,GO:0009166,0,1.597419987,0,4.233050498,0,0,0,0,0,0,0,1.442064378,1.700356499,0
CERAMIDE METABOLIC PROCESS,GOBP,GO:0006672,0,0,1.889565573,1.336103463,0,0,0,1.838432558,5.535269298,0,0,0,0,0
REGULATION OF GROWTH HORMONE SECRETION,GOBP,GO:0060123,1.379331222,0,0,3.142884659,0,1.369069922,0,0,1.407856284,0,0,0,0,0
NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,GOBP,GO:0001937,0,2.834142272,2.921088992,0,0,0,0,2.865999422,2.234267508,0,0,0,0,0
CELLULAR RESPONSE TO CAFFEINE,GOBP,GO:0071313,1.419897794,0,0,1.441249325,0,1.409616198,1.389780442,0,0,0,0,0,0,0
POSITIVE REGULATION OF ENDOCYTOSIS,GOBP,GO:0045807,0,0,2.104753312,0,1.768253098,0,0,0,2.366166055,0,0,1.578919468,0,0
MORPHOGENESIS OF AN ENDOTHELIUM,GOBP,GO:0003159,0,0,0,0,0,1.33212724,0,0,1.336968449,1.347584891,0,2.043878398,0,0
PURINERGIC RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035587,0,1.542603556,2.717466259,0,0,0,3.007645079,0,1.324421393,0,0,0,0,0
NEGATIVE REGULATION OF FAT CELL DIFFERENTIATION,GOBP,GO:0045599,0,1.542603556,0,1.886577596,0,0,0,0,0,0,0,1.687487155,1.563409006,0
OTIC VESICLE DEVELOPMENT,GOBP,GO:0071599,0,2.630540071,0,2.993226452,3.004357259,0,0,0,0,1.313637762,0,0,0,0
NEGATIVE REGULATION OF NEURON DIFFERENTIATION,GOBP,GO:0045665,0,1.544635684,1.641596606,0,0,0,0,0,1.762761375,0,0,2.319784986,0,0
RESPONSE TO X-RAY,GOBP,GO:0010165,0,0,0,0,0,0,2.162800072,4.679682809,0,0,0,0,1.443979584,2.61877608
REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS,GOBP,GO:0070228,0,1.446588389,1.501830823,0,0,1.726667183,0,0,0,1.756386102,0,0,0,0
NUCLEUS ORGANIZATION,GOBP,GO:0006997,0,3.802495145,0,1.800559254,0,0,1.662493415,0,0,0,0,2.374128887,0,0
GLYCOLYTIC PROCESS THROUGH FRUCTOSE-6-PHOSPHATE,GOBP,GO:0061615,0,0,0,3.930834098,0,0,0,0,0,0,0,2.654063179,4.507462932,2.908821807
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA,GOBP,GO:0061418,0,0,0,1.484811871,0,0,0,0,0,0,0,1.980807589,2.565148879,1.940708067
REGULATION OF CHEMOTAXIS,GOBP,GO:0050920,0,4.502809695,2.242158976,0,0,0,0,0,1.592084693,2.016771371,0,0,0,0
GLUCOSE CATABOLIC PROCESS,GOBP,GO:0006007,0,0,0,3.832764336,0,0,0,0,0,0,0,1.831869678,4.31156855,2.757316992
CELLULAR RESPONSE TO CORTICOSTEROID STIMULUS,GOBP,GO:0071384,0,0,1.403319656,0,0,1.625669971,0,0,0,0,0,2.391664321,3.205583273,0
DEVELOPMENTAL CELL GROWTH,GOBP,GO:0048588,1.414914462,0,0,0,2.508893922,0,0,0,0,1.424595077,0,2.696980836,0,0
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS,GOBP,GO:1902850,1.455137829,0,0,0,0,0,0,0,0,1.468610909,0,1.743475375,0,1.795874595
EPITHELIUM MIGRATION,GOBP,GO:0090132,0,0,0,0,1.380563207,2.272781969,0,1.889539914,1.820709463,0,0,0,0,0
EXOCRINE SYSTEM DEVELOPMENT,GOBP,GO:0035272,0,1.73721748,3.020474674,0,2.097450805,0,0,0,2.382142944,0,0,0,0,0
"REGULATION OF MRNA SPLICING, VIA SPLICEOSOME",GOBP,GO:0048024,2.149770494,0,0,0,0,0,0,0,0,0,1.511138723,1.789333661,0,2.298017033
REGULATION OF AMINE TRANSPORT,GOBP,GO:0051952,0,2.796746207,0,1.370444035,0,0,0,2.837540651,1.342848391,0,0,0,0,0
NEGATIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062014,0,1.691939807,0,0,0,0,2.042331775,1.720986874,0,0,0,0,2.428391222,0
REGULATION OF CELL-CELL ADHESION,GOBP,GO:0022407,0,0,2.721959368,2.992664999,4.601315455,0,0,0,3.421219264,0,0,0,0,0
MUSCLE CONTRACTION,GOBP,GO:0006936,0,1.332671534,0,0,0,3.414332119,0,0,0,0,2.499223818,2.780521203,0,0
REGULATION OF ANION TRANSPORT,GOBP,GO:0044070,0,0,1.706652481,2.118637749,0,0,0,3.475833653,1.396773821,0,0,0,0,0
MITOCHONDRIAL TRANSMEMBRANE TRANSPORT,GOBP,GO:1990542,0,2.420303949,0,0,0,0,0,1.616082022,0,0,0,1.721198533,0,2.474365809
MEMBRANE LIPID METABOLIC PROCESS,GOBP,GO:0006643,0,0,2.301584187,0,0,0,0,2.221342164,4.876418101,0,0,0,0,1.750363267
REGULATION OF INTERLEUKIN-1 BETA PRODUCTION,GOBP,GO:0032651,0,0,1.889565573,0,0,2.219778297,2.163907101,0,0,1.306752572,0,0,0,0
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS,GOBP,GO:0010927,0,3.835449823,0,0,0,0,0,0,1.342848391,0,0,1.520474153,1.663484013,0
GLYCOLYTIC PROCESS THROUGH GLUCOSE-6-PHOSPHATE,GOBP,GO:0061620,0,0,0,3.930834098,0,0,0,0,0,0,0,2.654063179,4.507462932,2.908821807
CARDIAC MUSCLE CELL DIFFERENTIATION,GOBP,GO:0055007,1.4766523,0,0,1.516504953,1.526820097,0,0,0,0,0,0,2.558438572,0,0
GLIOGENESIS,GOBP,GO:0042063,0,7.627174515,0,0,1.406994223,2.039526393,0,0,7.41384322,0,0,0,0,0
NEGATIVE REGULATION OF CELL-SUBSTRATE ADHESION,GOBP,GO:0010812,0,0,2.394219562,0,0,0,0,0,2.070627843,1.6416959,0,1.468309829,0,0
SPHINGOLIPID METABOLIC PROCESS,GOBP,GO:0006665,0,0,1.980368436,0,0,0,0,1.915457294,4.66715185,0,0,0,1.342126693,0
IRON ION HOMEOSTASIS,GOBP,GO:0055072,0,0,0,0,0,0,0,0,1.97660223,0,0,3.484953681,3.723679,1.773951169
HIPPO SIGNALING,GOBP,GO:0035329,0,1.999576423,0,2.354498778,0,0,0,0,0,0,0,1.347045767,1.563222838,0
NEGATIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS,GOBP,GO:1903845,1.376550791,0,0,3.581872898,1.426065159,1.357681964,0,0,0,0,0,0,0,0
RESPONSE TO KETONE,GOBP,GO:1901654,0,0,0,0,1.483683224,0,1.338488475,1.671489434,0,0,0,0,1.703985936,0
REGULATION OF TYPE I INTERFERON PRODUCTION,GOBP,GO:0032479,1.861569274,2.217028698,0,0,0,0,2.686578705,4.109967514,0,0,0,0,0,0
NEGATIVE REGULATION OF CELL MOTILITY,GOBP,GO:2000146,0,1.696276457,2.468247483,4.141207563,0,0,1.547939068,0,0,0,0,0,0,0
REGULATION OF PROTEIN LOCALIZATION TO MEMBRANE,GOBP,GO:1905475,0,0,2.446902544,0,1.472323969,1.377427415,0,0,0,0,0,3.311270067,0,0
REGULATION OF DENDRITE DEVELOPMENT,GOBP,GO:0050773,0,2.81206645,0,1.753415161,0,1.668798984,0,0,0,0,0,3.628184645,0,0
NEGATIVE REGULATION OF BLOOD VESSEL MORPHOGENESIS,GOBP,GO:2000181,0,2.406649558,2.514931214,0,0,0,0,0,2.213114889,2.02058269,0,0,0,0
RIBONUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0009259,0,0,0,3.516268925,0,0,0,0,3.60918912,0,0,2.767378208,1.696458844,0
POSITIVE REGULATION OF PEPTIDE HORMONE SECRETION,GOBP,GO:0090277,0,0,1.852639604,1.311419474,2.286583678,0,0,1.801727014,0,0,0,0,0,0
CAMERA-TYPE EYE DEVELOPMENT,GOBP,GO:0043010,0,0,0,0,2.361913961,1.530521371,0,0,1.585446946,0,0,0,2.22252113,0
FRUCTOSE 6-PHOSPHATE METABOLIC PROCESS,GOBP,GO:0006002,0,0,0,1.363638634,0,1.33212724,0,0,0,0,0,0,2.569732481,2.240182279
NOTCH SIGNALING INVOLVED IN HEART DEVELOPMENT,GOBP,GO:0061314,0,0,0,0,0,1.369069922,0,0,0,0,1.83110478,3.162087565,1.549296292,0
REGULATION OF HISTONE ACETYLATION,GOBP,GO:0035065,0,1.389062636,0,4.238081854,0,0,1.629617635,1.409128437,0,0,0,0,0,0
PHOSPHATIDYLINOSITOL PHOSPHORYLATION,GOBP,GO:0046854,0,1.389062636,3.643558879,0,1.738166124,1.667300867,0,0,0,0,0,0,0,0
REGULATION OF CARDIAC MUSCLE CONTRACTION,GOBP,GO:0055117,1.465985482,0,0,2.572519058,0,0,0,0,0,1.475731421,0,1.315935034,0,0
HISTONE MODIFICATION,GOBP,GO:0016570,1.31049698,1.300946035,0,0,0,0,0,2.466208925,0,0,1.674902226,0,0,0
CARBOHYDRATE PHOSPHORYLATION,GOBP,GO:0046835,2.413281691,0,3.58319498,4.037295494,0,0,0,0,0,0,0,1.546741542,0,0
ENDOTHELIAL TUBE MORPHOGENESIS,GOBP,GO:0061154,0,0,0,0,0,1.33212724,0,0,1.336968449,1.347584891,0,2.043878398,0,0
ESTABLISHMENT OF MONOPOLAR CELL POLARITY,GOBP,GO:0061162,0,0,2.157540697,0,2.466779055,0,0,0,0,0,0,2.87644087,1.699885844,0
RESPONSE TO CALCIUM ION,GOBP,GO:0051592,0,0,0,0,0,0,1.646822503,1.342584598,1.581466692,0,2.424691141,0,0,0
REGULATION OF GLUCOSE IMPORT,GOBP,GO:0046324,0,1.417241547,0,1.756884117,0,4.173254773,0,0,0,0,0,0,1.347065685,0
NON-RECOMBINATIONAL REPAIR,GOBP,GO:0000726,0,0,0,0,0,1.490425611,2.491614871,4.35713276,0,0,0,0,0,2.726023266
CELLULAR RESPONSE TO METAL ION,GOBP,GO:0071248,0,0,1.734082706,0,0,1.388585974,1.338488475,0,0,0,1.304378796,0,0,0
POSITIVE REGULATION OF BLOOD VESSEL DIAMETER,GOBP,GO:0097755,0,1.595824305,0,0,0,1.880066618,0,0,1.413818267,0,0,1.389831016,0,0
POSITIVE REGULATION OF GTPASE ACTIVITY,GOBP,GO:0043547,0,1.553211174,0,1.75784387,0,2.243372222,0,0,2.04532191,0,0,0,0,0
CELLULAR RESPONSE TO MECHANICAL STIMULUS,GOBP,GO:0071260,0,0,0,0,1.526820097,2.497820046,1.420732834,0,0,0,0,3.036732972,0,0
REGULATION OF MEMBRANE PERMEABILITY,GOBP,GO:0090559,0,0,0,1.388268497,0,2.300277735,0,0,1.383174169,0,0,1.588986307,0,0
POSITIVE REGULATION OF ORGAN GROWTH,GOBP,GO:0046622,0,2.713959137,0,1.941429738,0,1.880066618,0,0,0,0,1.396022545,0,0,0
NATURAL KILLER CELL DIFFERENTIATION,GOBP,GO:0001779,1.379331222,0,0,0,0,0,1.349274745,0,1.407856284,0,0,0,1.549296292,0
"REGULATION OF SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM",GOBP,GO:0043903,0,0,2.084533056,0,0,0,0,0,0,1.887351256,0,2.035593837,1.500666563,0
REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION,GOBP,GO:0070507,1.443411546,0,0,1.498424091,0,0,0,2.43294819,0,0,0,0,1.39372199,0
REGULATION OF MYELINATION,GOBP,GO:0031641,0,2.742858851,0,0,1.971331042,0,0,1.635071878,1.4454638,0,0,0,0,0
POSITIVE REGULATION OF INTRACELLULAR PROTEIN TRANSPORT,GOBP,GO:0090316,2.509791742,0,3.777202411,0,0,2.472033528,0,0,0,0,0,3.367164399,0,0
NEURON DEATH,GOBP,GO:0070997,0,1.4030114,0,0,0,1.681709198,0,1.423116314,0,0,0,2.137937878,0,0
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION,GOBP,GO:1902749,0,0,0,0,0,0,0,2.92309768,0,0,0,2.928244858,1.411740629,2.024338894
SPINAL CORD ASSOCIATION NEURON DIFFERENTIATION,GOBP,GO:0021527,3.021573207,0,0,1.363638634,1.369130275,0,0,0,2.352896227,0,0,0,0,0
HEART CONTRACTION,GOBP,GO:0060047,0,0,0,1.370444035,0,1.312634861,0,0,0,0,1.720165548,2.68151985,0,0
EPITHELIAL CELL DIFFERENTIATION INVOLVED IN PROSTATE GLAND DEVELOPMENT,GOBP,GO:0060742,0,0,0,1.441249325,1.446761264,0,0,0,1.486691571,0,0,1.488297076,0,0
GLIAL CELL DEVELOPMENT,GOBP,GO:0021782,0,4.572886325,0,0,2.190219676,2.086122944,0,0,5.714053744,0,0,0,0,0
NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION,GOBP,GO:1903038,0,0,1.526251223,2.892244335,0,1.842581657,0,0,1.472042178,0,0,0,0,0
REGULATION OF ERYTHROCYTE DIFFERENTIATION,GOBP,GO:0045646,0,0,0,1.922713435,0,0,0,0,1.383124846,3.167781136,0,1.343812651,0,0
CELLULAR GLUCOSE HOMEOSTASIS,GOBP,GO:0001678,2.329508736,0,4.024761365,0,1.398413692,2.300277735,0,0,0,0,0,0,0,0
PROSTATE GLAND DEVELOPMENT,GOBP,GO:0030850,2.067878989,0,3.055546644,2.109748112,0,0,0,0,0,0,0,2.392798344,0,0
NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009141,0,0,1.339678297,2.593949755,0,0,0,0,6.276381023,0,0,2.620931655,0,0
POSITIVE REGULATION OF CHEMOTAXIS,GOBP,GO:0050921,0,4.845449737,2.198625143,0,0,1.739583451,1.686484959,0,0,0,0,0,0,0
NADH METABOLIC PROCESS,GOBP,GO:0006734,0,0,0,2.109748112,0,0,0,0,0,0,0,1.830725519,3.669847458,2.264517614
HISTONE PHOSPHORYLATION,GOBP,GO:0016572,0,0,0,0,0,2.201923675,2.162800072,4.679682809,0,0,0,0,0,1.835106202
IMMATURE B CELL DIFFERENTIATION,GOBP,GO:0002327,0,0,2.838812095,0,0,1.369069922,3.038697697,0,0,0,0,2.194118316,0,0
REGULATION OF T-HELPER 2 CELL DIFFERENTIATION,GOBP,GO:0045628,0,0,0,1.400642145,0,1.369069922,0,0,0,0,1.83110478,0,1.549296292,0
REGULATION OF SISTER CHROMATID SEGREGATION,GOBP,GO:0033045,1.340177675,0,0,0,0,1.321412662,0,1.902727139,0,0,0,0,0,1.648007015
REGULATION OF MRNA METABOLIC PROCESS,GOBP,GO:1903311,1.382984284,0,0,0,0,0,0,1.425574842,0,0,0,3.252429029,0,3.655598578
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0033047,1.465985482,0,0,0,0,1.44688203,0,0,0,0,0,1.315935034,0,2.000535279
HOMOTYPIC CELL-CELL ADHESION,GOBP,GO:0034109,0,0,0,0,0,0,0,0,3.478748532,1.655110852,2.426125442,1.509370375,0,0
RESPONSE TO XENOBIOTIC STIMULUS,GOBP,GO:0009410,0,0,0,1.733424458,0,0,1.562944713,0,0,0,0,1.933748997,2.502624527,0
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY,GOBP,GO:0060333,0,0,0,0,2.639000152,1.479289918,0,0,5.153640609,0,0,1.419828783,0,0
NEURON MIGRATION,GOBP,GO:0001764,0,3.406437926,0,0,2.123178291,0,1.964843444,1.646376547,0,0,0,0,0,0
REGULATION OF TRANS-SYNAPTIC SIGNALING,GOBP,GO:0099177,0,3.91763461,0,0,0,1.605164612,0,2.097838962,0,0,0,2.627185109,0,0
DNA-DEPENDENT DNA REPLICATION,GOBP,GO:0006261,0,0,0,0,1.483683224,0,0,1.671489434,0,0,0,1.578678801,0,2.876533303
POSITIVE REGULATION OF MHC CLASS II BIOSYNTHETIC PROCESS,GOBP,GO:0045348,0,0,0,0,1.406143928,1.369069922,1.349274745,0,0,0,0,0,1.549296292,0
REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE,GOBP,GO:1903076,0,0,2.737558902,0,2.249443665,0,0,1.766317656,0,0,0,1.523272474,0,0
POSITIVE REGULATION OF FATTY ACID METABOLIC PROCESS,GOBP,GO:0045923,0,0,1.816811391,2.109748112,0,0,0,1.780668728,2.434853919,0,0,0,0,0
POSITIVE REGULATION OF MUSCLE CELL DIFFERENTIATION,GOBP,GO:0051149,0,0,1.967661138,1.388268497,0,2.300277735,0,0,0,0,0,2.351241496,0,0
CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0005975,0,0,0,2.045239299,0,1.895299518,0,0,0,0,0,1.789754908,2.367040582,0
REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045619,0,0,0,4.326799537,0,2.276434649,1.432220013,0,1.846367162,0,0,0,0,0
GLUCOSE CATABOLIC PROCESS TO PYRUVATE,GOBP,GO:0061718,0,0,0,2.455797515,0,0,0,0,0,0,0,2.169289455,4.72259134,3.075580481
HISTONE-SERINE PHOSPHORYLATION,GOBP,GO:0035404,1.379331222,0,0,0,0,1.369069922,0,0,1.407856284,1.384557981,0,0,0,0
DNA REPLICATION,GOBP,GO:0006260,0,0,0,0,1.783634023,0,0,3.161022739,0,0,0,1.607961378,0,4.735578969
POSITIVE REGULATION OF INTEGRIN ACTIVATION,GOBP,GO:0033625,1.379331222,0,0,0,0,1.369069922,0,0,2.46840759,0,0,0,0,1.334556158
AUTONOMIC NERVOUS SYSTEM DEVELOPMENT,GOBP,GO:0048483,0,0,0,1.904435752,3.203888793,0,0,0,1.353339566,0,1.347585834,0,0,0
NEGATIVE REGULATION OF ANGIOGENESIS,GOBP,GO:0016525,0,1.597419987,2.542633082,0,0,0,0,0,2.262842951,2.041490147,0,0,0,0
INSULIN-LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0048009,3.021573207,0,0,0,1.369130275,1.33212724,0,2.723359782,0,0,0,0,0,0
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,GOBP,GO:0038084,0,0,3.698572975,0,2.542035632,0,0,0,4.526517742,0,0,1.701721523,0,0
REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION,GOBP,GO:0050730,0,1.849058502,5.126322857,0,0,3.293169129,0,4.112138126,0,0,0,0,0,0
REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY,GOBP,GO:0061097,0,1.821440269,2.854851629,0,0,2.232789909,0,2.784420109,0,0,0,0,0,0
CELLULAR RESPONSE TO KETONE,GOBP,GO:1901655,0,0,0,0,0,1.303967632,0,0,1.323200494,0,1.701327115,0,3.456733308,0
ESTABLISHMENT OF RNA LOCALIZATION,GOBP,GO:0051236,1.397972957,0,1.712064218,0,0,0,0,0,0,0,0,1.760293674,0,2.809591826
FOREBRAIN GENERATION OF NEURONS,GOBP,GO:0021872,0,4.556293466,0,1.646097358,1.656557385,0,0,0,1.440432697,0,0,0,0,0
NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:2000059,3.043666849,0,0,0,0,3.013291356,0,1.529540688,0,0,0,2.053215853,0,0
REGULATION OF ION TRANSMEMBRANE TRANSPORTER ACTIVITY,GOBP,GO:0032412,0,1.82895545,1.339678297,0,1.849616939,0,0,0,1.424541728,0,0,0,0,0
MITOCHONDRION ORGANIZATION,GOBP,GO:0007005,0,0,0,0,0,1.453942876,0,0,1.816985618,0,0,3.89717738,0,2.461555353
NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0043433,0,0,3.702294345,0,1.68709208,0,0,0,0,0,1.670068763,1.316131053,0,0
REGULATION OF EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0030856,0,0,1.339348112,0,0,0,0,2.822940541,0,0,1.779164446,1.502987545,0,0
NEGATIVE REGULATION OF NERVOUS SYSTEM DEVELOPMENT,GOBP,GO:0051961,0,2.290315042,0,0,0,0,0,0,2.424286608,0,0,2.515530375,1.358528486,0
POSITIVE REGULATION OF ANION TRANSMEMBRANE TRANSPORT,GOBP,GO:1903961,0,0,0,0,0,1.33212724,1.312372587,2.723359782,2.352896227,0,0,0,0,0
EAR DEVELOPMENT,GOBP,GO:0043583,0,0,0,1.419559617,1.433644098,0,0,0,1.823632168,0,0,3.064589744,0,0
REGENERATION,GOBP,GO:0031099,0,0,2.895308093,0,1.737962732,0,0,0,0,1.680136964,0,0,1.46498438,0
MODIFICATION BY SYMBIONT OF HOST MORPHOLOGY OR PHYSIOLOGY,GOBP,GO:0044003,0,1.375385353,2.456135682,0,0,0,1.61553401,0,0,0,0,0,0,1.426730823
NEGATIVE REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901185,0,1.46172781,2.591220389,0,0,2.937995371,0,2.537036761,0,0,0,0,0,0
NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION,GOBP,GO:0033046,2.116088348,0,0,0,0,0,0,1.827968867,0,0,0,1.442043506,0,2.37369895
RESPONSE TO AMYLOID-BETA,GOBP,GO:1904645,0,2.631365993,2.717466259,0,0,3.066282414,0,1.563062218,0,0,0,0,0,0
NUCLEAR DIVISION,GOBP,GO:0000280,0,0,0,0,0,2.148025891,0,2.851679711,0,1.539472337,0,0,0,1.457699877
NEURON PROJECTION ORGANIZATION,GOBP,GO:0106027,0,1.633566197,1.689967123,0,0,3.210064186,0,1.654222724,0,0,0,0,0,0
LUNG DEVELOPMENT,GOBP,GO:0030324,0,1.914586821,0,0,2.57891985,0,2.369975937,0,0,0,0,1.360807622,0,0
REGULATION OF PEPTIDYL-LYSINE ACETYLATION,GOBP,GO:2000756,1.58045479,0,0,4.013750862,0,0,1.523827459,1.306267761,0,0,0,0,0,0
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE,GOBP,GO:1903078,0,1.375385353,1.430105195,0,1.723936955,0,0,1.395412079,0,0,0,0,0,0
CANONICAL GLYCOLYSIS,GOBP,GO:0061621,0,0,0,2.455797515,0,0,0,0,0,0,0,2.169289455,4.72259134,3.075580481
CELL GROWTH,GOBP,GO:0016049,1.395471632,0,0,0,2.478569208,0,0,0,0,1.405126178,0,2.593040927,0,0
POSITIVE REGULATION OF ACTIN CYTOSKELETON REORGANIZATION,GOBP,GO:2000251,0,0,2.358052167,0,2.669588683,0,0,0,2.711071763,0,0,1.328864531,0,0
POSITIVE REGULATION OF DNA REPLICATION,GOBP,GO:0045740,0,0,0,0,5.012956065,0,0,1.758072821,0,0,1.58959927,0,0,1.52871693
AMMONIUM ION METABOLIC PROCESS,GOBP,GO:0097164,0,0,0,0,0,0,0,1.559918671,0,1.341902067,0,2.236977232,1.87064982,0
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,GOBP,GO:1903557,0,0,1.852639604,0,1.321447829,2.181652995,2.125960429,0,0,0,0,0,0,0
NEGATIVE REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL,GOBP,GO:1903321,0,0,0,1.353062159,0,0,0,1.863665267,3.503291787,0,0,3.996471575,0,0
RESPONSE TO INTERLEUKIN-2,GOBP,GO:0070669,1.308431265,0,0,1.329661122,1.335142632,0,0,2.652362753,0,0,0,0,0,0
VIRAL LATENCY,GOBP,GO:0019042,0,0,0,0,1.406143928,0,1.349274745,0,0,0,0,1.373961739,0,1.334556158
VISUAL SYSTEM DEVELOPMENT,GOBP,GO:0150063,0,0,0,0,2.043748843,1.890314974,0,0,2.128371862,0,0,0,1.58188462,0
REGULATION OF SMOOTH MUSCLE CONTRACTION,GOBP,GO:0006940,0,2.436527839,1.472274643,0,0,1.696399295,0,0,1.66476075,0,0,0,0,0
REGULATION OF LIPID KINASE ACTIVITY,GOBP,GO:0043550,0,2.178325363,4.540074247,0,0,1.524899957,1.487795999,0,0,0,0,0,0,0
